DateTime,AddedIPs,RemovedIPs
1588082838,1,1
1588086464,1,2
1588090037,1,2
1588093639,2,2
1588097245,1,1
1588100851,1,1
1588104423,1,2
1588108014,1,1
1588111649,1,1
1588115241,1,1
1588118846,1,1
1588122441,1,1
1588126050,1,1
1588129656,1,1
1588133241,2,2
1588136837,2,1
1588140431,2,0
1588144036,1,2
1588147638,1,2
1588151243,1,2
1588154826,2,2
1588158454,2,1
1588162042,2,0
1588165644,2,2
1588169226,2,2
1588172839,2,2
1588176423,1,2
1588180031,1,2
1588183639,2,2
1588187236,1,1
1588190835,0,1
1588194440,1,1
1588198026,1,1
1588201621,0,1
1588205247,1,0
1588208839,1,1
1588212444,2,1
1588216051,1,1
1588219627,1,1
1588223244,1,2
1588226832,2,2
1588230420,2,0
1588234063,2,2
1588237633,1,1
1588241226,2,2
1588244832,1,2
1588248445,1,1
1588252040,2,2
1588255633,2,1
1588259245,2,1
1588262830,1,2
1588266425,1,1
1588270041,1,2
1588273645,2,1
1588277230,1,1
1588280833,1,2
1588284440,1,1
1588288039,1,1
1588291635,1,1
1588295233,2,1
1588298828,2,1
1588302427,2,1
1588306039,1,2
1588309634,2,2
1588313260,1,2
1588316826,2,2
1588320440,2,2
1588324026,1,1
1588327639,1,1
1588331235,1,2
1588334828,1,1
1588338423,2,1
1588342054,2,2
1588345626,1,1
1588349238,1,2
1588352840,1,1
1588356424,1,1
1588360032,1,1
1588363640,1,1
1588367239,1,1
1588370833,1,1
1588374436,0,2
1588378042,1,1
1588381647,1,1
1588385238,2,1
1588388835,1,0
1588392427,1,1
1588396015,1,1
1588399626,2,2
1588403241,1,2
1588406835,1,0
1588410428,0,1
1588414013,1,1
1588417637,1,1
1588421239,2,1
1588424824,2,1
1588428420,1,2
1588432029,1,1
1588435655,1,1
1588439242,1,1
1588442816,0,1
1588446440,1,1
1588450025,0,1
1588453621,1,1
1588457229,1,0
1588460824,1,2
1588464456,2,0
1588468037,2,1
1588471643,2,1
1588475238,2,2
1588478830,1,2
1588482429,1,2
1588486062,1,1
1588489651,1,1
1588493235,1,1
1588496827,1,1
1588500431,1,1
1588504055,1,1
1588507623,1,1
1588511238,1,1
1588514824,1,1
1588518450,2,1
1588522050,4,3
1588525633,2,1
1588529244,2,2
1588532838,1,3
1588536433,1,0
1588540038,0,1
1588543643,1,1
1588547241,1,1
1588550826,1,1
1588554443,1,0
1588558031,1,1
1588561625,1,1
1588565224,1,1
1588568837,2,1
1588572438,1,1
1588576040,1,2
1588579639,1,1
1588583244,2,2
1588586842,0,1
1588590430,2,1
1588594031,1,1
1588597633,2,1
1588601234,2,1
1588604818,2,2
1588608429,2,2
1588612022,1,2
1588615643,0,2
1588619317,2,2
1588622916,1,1
1588626420,0,1
1588630069,1,0
1588633637,1,1
1588637238,1,1
1588640861,1,0
1588644476,1,1
1588648053,1,1
1588651668,2,1
1588655255,2,2
1588658857,1,1
1588662460,1,2
1588666040,2,1
1588669642,2,1
1588673253,2,2
1588676886,2,2
1588680478,2,2
1588684056,1,2
1588687663,1,2
1588691277,2,2
1588694874,0,2
1588698466,2,1
1588702058,1,1
1588705649,1,1
1588709258,1,1
1588712859,1,1
1588716462,1,1
1588720055,2,1
1588723655,1,1
1588727278,2,1
1588730881,2,2
1588734490,1,1
1588738095,1,2
1588741696,2,1
1588745254,2,1
1588748833,1,2
1588752448,2,2
1588756050,1,1
1588759635,1,2
1588763263,1,1
1588766856,2,2
1588770458,1,1
1588774050,1,1
1588777662,1,1
1588781244,2,2
1588784848,2,1
1588788467,1,2
1588792057,1,1
1588795644,1,1
1588799243,1,1
1588802860,1,1
1588806447,0,1
1588810047,2,1
1588813694,2,2
1588817270,1,1
1588820891,2,0
1588824482,1,2
1588828057,1,3
1588831674,3,2
1588835277,2,1
1588838832,1,1
1588842464,2,1
1588846044,1,1
1588849660,1,2
1588853271,2,2
1588856840,2,2
1588860449,1,2
1588864050,1,1
1588867659,0,1
1588871251,1,1
1588874844,2,2
1588878445,1,1
1588882045,1,0
1588885647,1,7
1588889247,1,1
1588892851,2,1
