DateTime,AddedIPs,RemovedIPs
1588898417,227,178
1588900342,156,165
1588902252,161,145
1588904172,203,291
1588906092,205,193
1588908022,139,142
1588909931,166,192
1588911855,166,194
1588913779,160,201
1588915687,152,157
1588917637,161,179
1588919627,174,201
1588921455,150,198
1588923371,903,142
1588925310,159,138
1588927217,183,142
1588929130,181,1015
1588931061,146,1438
1588932970,124,2859
1588935136,212,1058
1588937052,137,187
1588938981,165,1211
1588940889,172,159
1588943770,211,281
1588945687,173,214
1588947620,226,210
1588949535,156,182
1588951453,154,203
1588953378,136,127
1588955406,192,193
1588957231,190,163
1588959145,156,145
1588961088,125,151
1588962985,182,157
1588964903,149,126
1588966812,154,179
1588968746,149,155
1588970654,221,156
1588972571,163,144
1588974499,156,163
1588976408,155,148
1588978332,155,166
1588980268,141,156
1588982166,139,679
1588984087,183,234
1588986970,357,244
1588988897,297,160
1588990833,278,215
1588992731,1108,185
1588994661,232,169
1588996578,238,188
1588998489,247,166
1589000431,257,152
1589002332,205,147
1589004755,298,236
1589006655,713,183
1589008573,226,442
1589010498,223,650
1589012418,279,195
1589014330,232,198
1589016265,227,184
1589018165,235,152
1589020091,257,143
1589022042,256,211
1589023935,212,153
1589026100,279,159
1589028011,522,186
1589029940,344,137
1589031855,237,140
1589034013,243,274
1589035930,268,213
1589037866,263,202
1589039768,437,241
1589041686,351,334
1589044603,559,199
1589046488,238,145
1589048408,281,215
1589050341,235,174
1589052276,281,165
1589054178,268,168
1589056086,257,192
1589058969,394,298
1589060887,277,187
1589062834,235,170
1589064729,239,166
1589066652,228,142
1589068580,302,173
1589070486,238,185
1589073385,354,336
1589075285,231,274
1589077239,247,286
1589079151,399,252
1589081049,267,212
1589082978,245,249
1589084886,245,229
1589086828,253,332
1589088744,242,1001
1589090915,258,269
1589092814,1041,242
1589094741,252,231
1589096670,1173,210
1589098572,1019,305
1589100496,1110,189
1589102423,934,200
1589104337,1078,197
1589106258,996,214
1589108449,1158,239
1589110336,973,193
1589112273,883,246
1589114195,1227,267
1589116095,1185,381
1589118011,1361,215
1589119946,766,198
1589121869,213,214
1589123790,206,179
1589125953,537,419
1589127877,384,280
1589129703,280,270
1589131687,288,211
1589133651,191,183
1589135533,272,204
1589137479,287,239
1589139375,469,228
1589141311,707,205
1589143221,208,197
1589145132,248,193
1589147086,305,232
1589148968,287,170
1589150902,266,192
1589152807,186,177
1589154733,221,250
1589156657,786,253
1589158565,1234,179
1589160531,1969,173
1589162443,1653,173
1589164368,967,290
1589166502,1099,369
1589168413,869,176
1589170347,198,200
1589172252,193,197
1589174198,213,168
1589176099,194,225
1589178009,181,187
1589179929,182,222
1589181880,675,217
1589183768,958,1070
1589185689,869,668
1589187693,965,934
1589189566,851,680
1589191472,832,911
1589193372,951,1138
1589195317,891,968
1589197236,1025,1128
1589199386,1021,901
1589201299,1058,967
1589203220,819,1060
1589205127,888,1349
1589207075,863,341
1589208969,1109,243
1589210889,945,266
1589212838,921,295
1589214740,800,240
1589217030,966,284
1589219067,1020,216
1589220973,785,229
1589223153,967,283
1589225050,626,235
1589226980,890,723
1589228889,683,184
1589230833,711,212
1589232744,1050,194
1589234683,676,266
1589236593,775,239
1589238512,631,208
1589240415,702,203
1589242335,246,196
1589244265,145,230
1589246176,144,615
1589248088,137,1259
1589250262,191,324
1589252171,192,249
1589254089,165,255
1589256972,289,992
1589258910,374,1243
1589260841,169,1171
1589262730,177,1569
1589264664,166,1273
1589266570,653,1321
1589268491,222,1016
1589270492,196,1100
1589272364,156,1015
1589274283,176,971
1589276194,203,1111
1589278128,177,870
1589280011,205,1027
1589282176,183,1032
1589284090,143,1077
1589286037,171,969
1589287934,177,1147
1589289852,207,863
1589291829,201,984
1589293691,181,889
1589295630,180,1068
1589297548,169,975
1589299481,137,834
1589301374,182,918
1589303310,211,817
1589305215,227,961
1589307131,207,860
1589309061,182,877
1589310969,218,721
1589312899,246,915
1589314822,189,823
1589316737,183,753
1589318656,346,1333
1589322019,611,1377
1589323964,583,854
1589325871,522,692
1589327782,889,576
1589329692,1473,183
1589332574,2439,232
1589334494,1571,133
1589336423,1314,159
1589338335,1566,197
1589340272,496,286
1589342187,304,1151
1589344091,968,366
1589346039,239,171
1589347955,254,162
1589349902,209,181
1589351788,279,496
1589353705,251,172
1589355643,267,198
1589357538,279,176
1589359489,257,183
1589361631,297,188
1589363534,265,188
1589365454,275,189
1589367382,248,168
1589369295,256,158
1589371242,204,144
1589373189,243,161
1589375071,219,162
1589376990,268,220
1589379167,280,219
1589381054,242,237
1589382978,251,254
1589384893,291,230
1589386828,285,236
1589388738,781,482
1589390656,1445,759
1589392591,1475,198
1589394492,1443,147
1589397373,2280,269
1589399292,1501,202
1589401503,1404,175
1589403389,1472,162
1589405292,1228,164
1589407240,1550,394
1589409149,1101,393
1589411069,1354,582
1589412994,1628,477
1589414917,1507,802
1589416809,1666,1224
1589418731,1412,907
1589420667,1473,1016
1589422582,1250,1319
1589424515,1438,1610
1589426420,1317,667
1589428329,1552,320
1589430251,1356,257
1589432232,1581,247
1589434104,1254,221
1589436970,2194,311
1589438888,1543,242
1589440819,1461,231
1589442731,1670,280
1589444651,1341,238
1589446600,1700,239
1589448488,639,827
1589450441,271,424
1589452344,244,278
1589454525,294,243
1589456417,264,220
1589458342,308,184
1589460257,297,271
1589462189,273,295
1589464088,281,325
1589466020,270,295
1589467928,241,288
1589469859,191,262
1589471767,189,255
1589473697,223,245
1589475628,238,1231
1589477552,256,1693
1589479476,238,1629
1589481387,316,1944
1589483315,279,1686
1589485212,312,1735
1589487147,267,1538
1589489050,591,1614
1589490970,586,1477
1589492912,705,1918
1589494816,557,1358
1589496735,630,1755
1589498666,591,1575
1589500570,600,1876
1589502499,554,1587
1589505389,1600,2371
1589507288,3743,1601
1589509239,2760,1280
1589511133,555,1403
1589513054,481,1368
1589514998,618,1643
1589516887,518,1254
1589518839,520,1587
1589520746,514,1308
1589522680,499,1418
1589524571,568,1468
1589527461,776,2211
1589529380,562,1709
1589531288,480,1347
1589534193,752,2003
1589536099,491,340
1589538010,466,261
1589539938,488,329
1589541858,559,280
1589543767,522,386
1589545689,455,286
1589548580,1091,481
1589550740,545,363
1589552654,469,335
1589554572,603,306
1589556813,724,299
1589558676,536,250
1589560608,811,294
1589562516,718,281
1589564424,805,331
1589566347,688,317
1589568261,818,342
1589570167,709,347
1589572089,874,354
1589574019,740,333
1589575931,1027,643
1589577848,988,605
1589579779,571,691
1589581687,437,578
1589583629,459,638
1589585545,449,607
1589587473,431,621
1589589371,619,621
1589591303,449,711
1589593216,500,2921
1589595155,411,3794
1589597062,452,1182
1589598969,383,480
1589600885,130,573
1589602833,154,572
1589604728,163,547
1589606649,160,513
1589608596,162,573
1589610515,209,520
1589613374,242,763
1589615288,147,564
1589617226,142,500
1589619133,168,545
1589621056,153,480
1589622981,159,482
1589624899,232,461
1589627772,297,671
1589629698,156,610
1589631611,187,429
1589633530,164,495
1589635476,191,850
1589637388,165,480
1589639291,185,443
1589641226,303,527
1589643141,137,481
1589645066,146,692
1589646984,174,776
1589648906,261,722
1589650811,277,816
1589652747,1090,719
1589654707,1503,838
1589657179,1980,937
1589659108,1420,864
1589661145,1199,675
1589663198,1128,1018
1589665080,1249,803
1589667106,1287,404
1589669372,359,517
1589671356,201,423
1589673273,200,457
1589675356,375,636
1589677242,183,453
1589679635,225,558
1589681532,202,392
1589683469,197,444
1589685376,205,342
1589687297,181,122
1589689222,154,131
1589691131,195,155
1589693062,187,154
1589694970,207,143
1589697253,1162,223
1589699068,441,145
1589700979,195,156
1589702914,173,132
1589704812,208,151
1589706745,182,133
1589708667,204,153
1589710833,230,175
1589712732,261,244
1589714654,199,198
1589716578,183,134
1589718544,165,143
1589720432,181,140
1589722347,190,193
1589724264,799,151
1589726180,313,227
1589728109,178,232
1589730017,370,134
1589731939,626,130
1589733862,581,161
1589735783,200,250
1589737716,215,480
1589739610,246,1213
1589741546,206,1450
1589743452,303,1509
1589745705,299,1539
1589747545,244,1071
1589749475,271,1161
1589751376,314,1478
1589753306,289,1302
1589755226,270,470
1589757135,242,259
1589759064,234,238
1589760972,690,309
1589762895,1445,225
1589764821,1048,202
1589766728,1516,246
1589768660,1128,210
1589770573,1280,240
1589772488,1192,263
1589774439,1309,185
1589776339,1107,179
1589778508,1102,215
1589780412,1165,185
1589782345,996,184
1589784267,1543,189
1589786415,3108,202
1589789295,1434,243
1589791220,1121,187
1589793152,884,161
1589795055,998,177
1589797228,985,227
1589799134,1135,263
1589801053,823,182
1589802973,1011,171
1589804890,945,175
1589807770,905,263
1589809688,827,465
1589811614,731,564
1589813527,976,314
1589815448,769,175
1589817369,948,356
1589819300,636,601
1589821289,728,290
1589823135,692,157
1589825319,787,266
1589827221,624,197
1589829133,670,166
1589831077,779,200
1589832972,707,165
1589834897,744,199
1589836822,688,219
1589838736,685,215
1589840664,189,220
1589842573,186,196
1589844488,125,188
1589846440,145,297
1589848333,149,979
1589850506,143,1118
1589852414,140,1330
1589854355,136,1088
1589856255,123,1115
1589858199,145,1103
1589860100,196,1279
1589862015,191,976
1589863932,344,1073
1589865873,167,980
1589867771,251,1176
1589869696,191,978
1589871658,164,4265
1589873541,152,949
1589875498,213,1000
1589877380,184,1163
1589879316,190,1028
1589881216,163,1011
1589883139,215,956
