DateTime,AddedIPs,RemovedIPs
1588694456,1,0
1588696349,3,1
1588698257,2,0
1588700176,1,0
1588702111,0,1
1588704038,0,2
1588705933,0,4
1588709767,0,4
1588711699,1,1
1588713607,2,2
1588715535,0,2
1588719391,2,1
1588721287,1,0
1588724168,0,1
1588728253,2,0
1588730169,1,2
1588732098,2,0
1588734982,1,1
1588736889,1,1
1588738816,2,0
1588740739,2,0
1588742651,1,0
1588744578,1,2
1588746493,0,3
1588749370,2,3
1588751286,1,0
1588753218,1,3
1588755146,1,1
1588757047,0,2
1588758981,2,1
1588760889,1,0
1588763768,2,0
1588767616,0,1
1588769531,3,0
1588773379,2,0
1588775287,0,2
1588777237,2,0
1588779135,3,0
1588780957,2,1
1588782996,2,3
1588784900,2,2
1588786812,2,1
1588788765,1,0
1588792578,1,0
1588794502,1,0
1588796407,1,0
1588798329,1,1
1588800269,1,2
1588802235,1,0
1588804441,4,0
1588806277,0,2
1588808182,0,1
1588812016,1,0
1588813942,0,1
1588815851,1,1
1588818012,0,2
1588821861,1,1
1588823767,0,1
1588825687,1,2
1588827666,0,1
1588829534,0,1
1588831476,2,1
1588833383,0,1
1588835290,0,1
1588837213,1,0
1588839160,3,0
1588841050,0,2
1588842966,1,1
1588844903,0,1
1588846815,0,1
1588850664,0,2
1588852568,2,0
1588856462,1,2
1588860518,2,2
1588864341,1,2
1588866249,1,3
1588868061,0,3
1588870099,2,3
1588872006,0,3
1588873940,0,1
1588879705,0,1
1588882569,1,2
1588884501,0,1
1588886410,0,2
1588890263,0,2
1588892169,0,4
1588896084,2,0
1588897937,1,1
1588903737,3,1
1588905616,2,0
1588907532,1,1
1588909463,2,0
1588911371,2,1
1588915223,1,0
1588917130,0,2
1588919070,1,0
1588922894,1,1
1588925783,0,3
1588927691,0,1
1588933447,3,0
1588939253,0,2
1588941148,1,0
1588943062,1,1
1588946913,0,2
1588948812,3,0
1588950997,1,1
1588952889,3,1
1588954836,1,1
1588956732,3,1
1588958654,0,1
1588962501,2,0
1588964436,0,1
1588968267,0,1
1588970190,1,0
1588972102,1,0
1588974014,2,0
1588975952,1,0
1588977853,2,0
1588981929,1,0
1588983860,0,2
1588985766,0,1
1588990583,0,3
1588992497,1,0
1588994406,1,2
1588996333,1,1
1588998259,1,1
1589000191,1,0
1589002086,0,1
1589004051,1,0
1589005932,1,1
1589008108,1,0
1589010012,0,1
1589011942,1,0
1589016014,4,0
1589017931,0,1
1589019861,4,2
1589021767,2,1
1589023729,1,0
1589028500,3,2
1589030410,1,0
1589032333,1,0
1589034263,1,0
1589036192,1,2
1589038140,1,1
1589040097,2,3
1589044132,0,1
1589047936,1,1
1589049858,1,1
1589051813,1,0
1589053698,3,0
1589055621,2,0
1589057530,0,2
1589059454,2,1
1589061384,1,1
1589063301,1,0
1589066173,1,2
1589068090,1,1
1589070024,2,0
1589077712,1,0
1589080571,2,2
1589082488,1,1
1589084418,0,1
1589086331,0,1
1589090175,1,1
1589092089,0,3
1589094980,1,1
1589096901,1,0
1589098817,1,1
1589100767,1,1
1589102706,0,3
1589104602,0,1
1589106492,0,4
1589109371,1,3
1589111307,2,0
1589113235,1,0
1589115133,1,3
1589117059,0,1
1589118967,2,3
1589120889,1,0
1589123799,3,2
1589127877,3,2
1589129704,1,0
1589131687,2,0
1589134586,1,2
1589136487,1,0
1589138409,2,1
1589140344,0,3
1589142248,1,2
1589144177,1,0
1589146136,1,2
1589148306,0,1
1589150198,0,1
1589152103,2,1
1589155979,0,2
1589157855,2,1
1589159789,1,0
1589161727,1,0
1589163624,1,1
1589165531,0,1
1589167460,0,2
1589169372,1,1
1589171287,2,0
1589174201,2,0
1589176100,2,0
1589178010,2,1
1589179930,2,0
1589181882,0,2
1589185690,3,2
1589187724,1,0
1589189567,1,0
1589191479,1,0
1589197239,0,3
1589199387,1,2
1589201303,1,2
1589203220,1,0
1589205128,2,2
1589207080,0,1
1589208970,2,1
1589210890,1,2
1589213790,1,1
1589215689,3,2
1589217631,3,2
1589219537,1,2
1589221452,2,0
1589223400,2,1
1589225289,2,2
1589227237,1,0
1589229150,1,1
1589231328,2,0
1589233214,1,1
1589237081,1,1
1589238976,0,1
1589240889,2,0
1589244733,1,2
1589248580,1,1
1589250492,4,1
1589256506,0,2
1589258418,2,2
1589260341,1,0
1589262257,3,3
1589264180,1,2
1589266110,0,2
1589268014,1,0
1589269930,4,0
1589271873,0,3
1589273770,3,1
1589275700,2,2
1589277675,0,1
1589279562,2,0
1589285544,0,1
1589287470,1,1
1589289373,2,0
1589291291,1,3
1589295131,1,1
1589297054,0,2
1589300891,1,3
1589303773,2,3
1589305980,0,1
1589307852,3,2
1589309780,1,2
1589311686,2,2
1589314568,3,2
1589316738,1,2
1589318658,2,1
1589320855,1,0
1589323003,0,1
1589325945,0,2
1589327784,1,0
1589329694,1,0
1589332576,0,1
1589334497,1,1
1589336425,2,3
1589338337,2,1
1589340275,3,0
1589342189,1,0
1589344093,0,1
