DateTime,Entries,UniqueIPs
1577080860,79,79
1577082759,86,86
1577084693,95,95
1577086815,101,101
1577088982,107,107
1577091137,120,120
1577093052,123,123
1577094994,132,132
1577096894,136,136
1577098876,143,143
1577100776,150,150
1577102926,154,154
1577104823,163,163
1577106737,164,164
1577108670,166,166
1577110586,170,170
1577114441,173,173
1577116351,176,176
1577118251,179,179
1577120219,179,179
1577122102,183,183
1577125011,188,188
1577127161,189,189
1577129076,192,192
1577130996,193,193
1577136027,192,192
1577142994,191,191
1577152900,190,190
1577154765,186,186
1577156733,176,176
1577158588,169,169
1577160502,158,158
1577162419,147,147
1577164357,140,140
1577166354,129,129
1577168227,120,120
1577170092,110,110
1577172031,103,103
1577173939,97,97
1577175874,90,90
1577177772,79,79
1577179952,73,73
1577181925,67,67
1577183794,60,60
1577185709,53,53
1577187628,47,47
1577189560,41,41
1577191456,34,34
1577193377,31,31
1577195315,31,31
1577197214,27,27
1577199156,25,25
1577201075,23,23
1577202979,20,20
1577204892,18,18
1577207775,17,17
1577209696,13,13
1577211629,8,8
1577213529,7,7
1577215455,4,4
1577217389,3,3
1577243317,2,2
1577282190,1,1
1577284086,0,0
1577304976,1,1
1577314594,2,2
1577391164,1,1
1577399061,0,0
1577487909,1,1
1577545507,2,2
1577574542,1,1
1577582413,2,2
1577631657,1,1
1577667749,0,0
1577755962,1,1
1577842106,0,0
1577894920,1,1
1577979869,0,0
1578142350,1,1
1578166815,2,2
1578187219,3,3
1578230179,2,2
1578244100,3,3
1578246010,4,4
1578253710,3,3
1578273847,2,2
1578288273,3,3
1578330756,1,1
1578374186,0,0
1578396277,1,1
1578445364,2,2
1578480528,3,3
1578482431,2,2
1578530906,1,1
1578565698,0,0
1578776899,1,1
1578797793,2,2
1578817472,3,3
1578860891,4,4
1578864769,3,3
1578883929,2,2
1578904603,1,1
1578945395,0,0
1578959332,1,1
1578999392,2,2
1579046460,1,1
1579085564,0,0
1579284998,1,1
1579347624,2,2
1579372831,1,1
1579431379,0,0
1579568431,1,1
1579652890,0,0
1579662757,1,1
1579747937,0,0
1579789213,1,1
1579873957,0,0
1579920726,1,1
1579967058,2,2
1579972821,3,3
1579991060,4,4
1580008581,3,3
1580053231,2,2
1580058979,1,1
1580075319,0,0
1580122337,1,1
1580208506,0,0
1580270691,1,1
1580356106,0,0
1580379144,1,1
1580465314,0,0
1580574969,1,1
1580657298,2,2
1580663176,1,1
1580693287,2,2
1580740596,3,3
