DateTime,AddedIPs,RemovedIPs
1588656261,1,0
1588658169,0,1
1588660115,0,1
1588662969,0,1
1588664889,1,1
1588668734,28,1
1588672579,1,0
1588674487,1,0
1588677375,2,0
1588681208,1,2
1588683132,1,0
1588685100,2,0
1588686998,1,0
1588691780,0,3
1588693836,0,2
1588695870,1,1
1588702587,1,5
1588704490,1,1
1588706421,0,1
1588708333,2,1
1588710312,1,1
1588712175,0,2
1588714092,2,1
1588716068,3,0
1588717939,1,2
1588720103,0,3
1588722011,1,0
1588723968,1,4
1588725850,2,1
1588727786,3,0
1588729693,3,1
1588731613,1,0
1588733557,0,1
1588735457,1,3
1588737371,6,0
1588739299,1,0
1588742168,2,0
1588744090,2,1
1588747930,3,0
1588750093,1,1
1588752095,1,0
1588758018,1,1
1588759947,2,0
1588761862,0,3
1588763770,0,3
1588765691,1,0
1588767617,2,1
1588771473,1,1
1588773380,3,1
1588775288,0,1
1588778169,1,0
1588780097,0,27
1588782019,0,1
1588783929,1,1
1588792583,0,1
1588794507,0,2
1588796408,1,0
1588800278,0,2
1588802236,1,0
1588804442,1,2
1588806284,1,0
1588808183,1,0
1588810119,1,3
1588812017,4,2
1588813943,0,2
1588815852,2,3
1588818014,4,1
1588819934,1,0
1588821862,3,1
1588823768,1,0
1588825688,2,1
1588827701,2,1
1588829534,1,0
1588831483,0,1
1588833384,0,1
1588837214,1,2
1588839165,1,0
1588841050,2,0
1588842966,1,1
1588844904,0,2
1588846816,2,2
1588848730,0,1
1588850665,1,0
1588852570,0,1
1588854500,1,0
1588857614,2,2
1588859535,0,2
1588861478,1,2
1588863372,0,1
1588865294,0,1
1588868417,1,0
1588872263,0,2
1588878994,2,2
1588880902,1,0
1588882811,1,0
1588886662,1,0
1588888569,1,2
1588890740,0,1
1588892708,2,0
1588894589,2,1
1588896506,2,1
1588898420,6,2
1588900344,2,2
1588902254,2,1
1588904175,2,2
1588906094,5,1
1588908025,1,1
1588909935,1,5
1588911857,0,3
1588913781,0,2
1588915690,1,1
1588917737,0,1
1588919629,1,0
1588921458,0,1
1588923373,720,0
1588927219,2,2
1588931063,1,0
1588932972,1,0
1588937055,0,1
1588940890,0,2
1588943772,0,3
1588947622,1,0
1588953380,0,1
1588955410,1,0
1588959147,1,0
1588961126,3,0
1588962987,2,0
1588964905,1,0
1588966813,1,0
1588968755,1,0
1588970655,4,0
1588972574,1,0
1588974501,3,3
1588976410,2,1
1588978336,1,0
1588980271,1,1
1588982168,1,1
1588984101,1,3
1588987939,1,1
1588991781,0,4
1588993704,1,0
1588995619,0,1
1588999459,1,0
1589001635,1,0
1589005463,1,0
1589009349,1,726
1589013386,1,2
1589015292,0,2
1589017206,1,1
1589019143,1,1
1589023212,2,0
1589025128,1,1
1589027061,0,1
1589028968,1,1
1589030889,2,0
1589032848,0,1
1589034741,1,0
1589036672,0,1
1589040500,0,1
1589042581,1,0
1589044606,0,1
1589046489,0,2
1589048410,25,0
1589050343,1,2
1589052278,0,1
1589054180,3,2
1589056088,1,1
1589058070,0,4
1589059949,4,5
1589061869,3,0
1589063810,2,2
1589065720,1,2
1589069531,4,2
1589075287,1,1
1589077290,2,1
1589079225,2,1
1589081051,1,0
1589084887,0,4
1589086850,1,0
1589090916,0,2
1589094741,0,1
1589098581,1,0
1589102424,2,1
1589104338,1,0
1589106259,1,0
1589109408,1,0
1589115135,0,1
1589117061,2,1
1589118968,0,1
1589123800,1,1
1589127879,0,1
1589129706,1,1
1589131688,0,1
1589134587,1,0
1589138410,0,28
1589140345,0,4
1589142250,3,1
1589144178,2,1
1589146137,0,3
1589148323,3,4
1589150200,1,3
1589152104,2,2
1589155981,1,2
1589157856,0,1
1589159791,1,0
1589161730,2,2
1589163628,1,0
1589165532,2,1
1589167462,0,1
1589169376,1,0
1589171288,1,0
1589174201,0,1
1589176101,3,0
1589179931,2,0
1589183770,2,0
1589185691,1,1
1589187753,0,1
1589189568,0,4
1589191485,3,1
1589193373,0,1
1589195319,0,2
1589199388,2,1
1589203221,0,2
1589205129,3,0
1589207080,1,1
1589208971,2,0
1589210891,1,2
1589212870,4,0
1589214741,1,2
1589220975,1,1
1589223156,0,1
1589226981,0,1
1589228891,0,3
1589231778,4,3
1589233690,3,2
1589235623,1,0
1589237530,0,1
1589239454,3,1
1589241389,2,0
1589243291,1,2
1589246189,2,1
1589248090,0,3
1589250265,5,2
1589252174,2,4
1589254092,0,2
1589256975,2,2
1589258916,2,0
1589260844,1,0
1589262732,0,3
1589264667,1,1
1589266599,1,1
1589268515,0,2
1589272630,2,0
1589274497,1,0
1589278582,0,1
1589282418,1,0
1589284330,1,1
1589286251,0,1
1589288178,0,2
1589290086,1,0
1589292971,3,3
1589294949,2,1
1589296818,0,1
1589298732,0,3
1589300650,0,1
1589302577,0,1
1589304389,1,1
1589307619,2,1
1589311453,3,2
1589317270,0,2
1589319147,2,1
1589321573,3,3
1589323487,2,2
1589325423,3,2
1589327307,4,0
1589329225,3,2
1589331137,1,1
1589333070,2,1
1589334990,2,0
1589336892,2,2
1589338864,0,1
1589342911,1,2
1589344814,3,4
1589354466,1,0
1589358254,1,2
1589362092,1,1
1589364992,1,0
1589368818,1,1
1589370731,0,1
1589374569,3,0
1589376509,1,0
1589378546,0,3
1589380587,0,3
1589382517,1,1
1589384412,1,0
1589390174,1,0
1589392333,0,3
1589394251,0,3
1589396185,2,0
1589398090,0,2
1589401507,0,2
1589403392,1,0
1589405349,0,1
1589408426,2,2
1589410337,1,1
1589412258,1,2
1589414183,1,5
1589416097,8,1
1589418059,3,0
1589419949,4,0
1589424027,0,2
1589426177,2,1
1589428091,2,0
1589430024,0,1
1589431942,1,1
1589435813,1,0
1589440577,0,1
1589442488,1,0
1589444421,1,0
1589448259,0,1
1589452087,0,1
1589454984,0,1
1589459085,0,1
1589461008,1,2
1589462903,1,1
1589464834,0,1
1589466747,2,0
1589470588,1,3
1589474439,1,0
1589476586,0,3
1589478491,1,0
1589480420,2,1
1589482335,1,2
1589484263,2,0
1589486173,1,2
1589488093,0,2
1589491208,5,1
1589493158,4,0
1589495057,1,2
1589496972,2,0
1589498888,2,1
1589500886,3,0
1589502735,2,1
1589504683,1,4
1589506595,0,1
1589508518,2,0
1589510413,0,5
1589512396,2,2
1589514265,1,1
1589516173,1,1
1589518089,0,2
1589520022,0,1
1589521929,1,0
1589523855,0,1
1589525780,0,1
1589527690,0,1
1589530821,0,2
1589534662,2,0
1589538488,2,0
1589540460,1,0
1589542334,3,1
1589544311,0,1
1589548118,1,1
1589550041,2,2
1589552194,1,1
1589554087,2,0
1589556311,1,3
1589558181,2,0
1589560115,1,1
1589562985,1,0
1589564890,1,2
1589568732,2,1
1589570661,0,1
1589572581,2,0
1589577366,4,2
1589579286,0,4
1589581235,1,1
1589583134,4,1
1589585053,3,2
1589586994,1,3
1589588889,4,3
1589591772,1,2
1589593701,0,3
1589595637,0,4
1589599453,1,2
1589601387,0,2
1589609958,0,1
1589615794,0,1
1589617688,0,2
1589619667,2,1
1589621562,2,0
1589623490,2,0
1589625426,0,3
1589627310,1,0
1589629209,2,3
1589631152,0,1
1589633054,1,0
1589635018,2,0
1589636898,0,3
1589638813,0,1
1589640990,2,1
1589643142,0,4
1589645093,1,2
1589646986,1,1
1589648928,0,1
1589650813,0,1
1589654716,1,2
1589661149,2,0
1589663201,1,3
1589665084,1,2
1589667109,1,0
1589669376,5,0
1589671360,2,5
1589673276,1,2
1589675359,1,1
1589677333,2,0
1589679637,3,0
1589681534,1,1
1589687299,1,2
1589689224,0,1
1589694972,0,1
1589699071,1,0
1589702916,2,0
1589704814,0,1
1589706747,0,1
1589708669,0,2
1589712734,0,2
1589716580,0,2
1589718546,0,1
1589721394,1,2
1589723291,0,1
1589727133,0,2
1589736736,1,1
1589738709,1,0
1589740570,1,2
1589742521,1,2
1589744473,1,0
1589746337,3,1
1589748258,1,0
1589751144,0,1
1589753059,1,0
1589754975,4,2
1589756909,1,1
1589758810,2,1
1589760745,0,2
1589762659,2,2
1589764626,2,1
1589766489,0,3
1589768443,2,0
1589770333,0,2
1589772262,2,0
1589774173,2,1
1589776095,1,0
1589778115,1,0
1589781891,0,1
1589785708,0,1
1589787621,1,0
1589789542,2,1
1589791476,2,0
1589793370,0,1
1589797231,2,0
1589799136,2,0
1589801056,1,0
1589802979,0,1
1589804893,2,0
1589808750,1,0
1589812589,1,0
1589814512,1,1
1589816448,1,0
1589818350,2,0
1589820262,1,0
1589822195,1,0
1589824091,1,2
1589826024,0,1
1589827932,1,1
1589829852,0,1
1589831794,0,2
1589833691,1,1
1589835721,2,0
1589839532,0,1
1589841444,1,2
1589843306,0,3
1589845215,2,1
1589847170,1,2
1589849054,3,2
1589851005,2,1
1589852903,2,0
1589854838,3,2
1589856743,1,0
1589858666,2,1
1589860572,0,3
1589862501,1,1
1589865623,1,2
1589867529,0,1
1589869461,0,1
1589873302,1,1
1589875269,23,1
1589877133,0,2
1589878962,1,0
1589882914,0,1
