DateTime,AddedIPs,RemovedIPs
1588660339,3,0
1588663216,4,2
1588665134,2,0
1588667076,1,1
1588668976,1,1
1588670889,2,0
1588673807,1,1
1588675700,2,1
1588677612,3,1
1588679551,2,0
1588681466,1,1
1588683372,2,1
1588685290,1,1
1588688180,1,1
1588690091,0,2
1588692026,1,1
1588693841,1,1
1588695940,0,4
1588697799,1,1
1588699692,1,0
1588702593,4,1
1588704497,1,0
1588706428,2,1
1588708340,2,0
1588710322,1,3
1588712205,1,5
1588714115,1,3
1588716214,1,3
1588718180,1,0
1588720108,1,1
1588722016,2,1
1588723984,1,1
1588725855,2,0
1588727791,1,1
1588731617,2,0
1588733562,0,1
1588735462,0,1
1588737378,1,3
1588739303,3,0
1588742427,0,1
1588746303,0,2
1588748181,1,4
1588750097,3,1
1588752186,2,2
1588754175,3,1
1588756104,3,2
1588758023,2,2
1588759953,4,1
1588761865,3,2
1588763773,3,2
1588765695,2,2
1588767621,2,2
1588769536,2,2
1588771477,2,1
1588773385,2,1
1588775292,4,0
1588777381,3,1
1588779382,2,0
1588781349,1,1
1588783216,3,0
1588785147,3,1
1588787053,2,1
1588788974,2,4
1588790898,2,1
1588792816,3,2
1588794732,1,2
1588796664,4,0
1588798583,3,2
1588800514,3,1
1588802495,1,1
1588804447,2,1
1588806291,1,1
1588808186,2,2
1588810123,1,1
1588812021,2,2
1588813945,1,1
1588815855,1,0
1588818017,1,2
1588823771,0,1
1588825692,0,3
1588827778,1,0
1588829784,2,0
1588833616,1,0
1588835544,0,1
1588837452,0,2
1588839369,0,4
1588841309,0,3
1588843212,0,3
1588845133,1,4
1588847065,2,2
1588848973,3,3
1588850893,0,2
1588852922,1,1
1588854748,1,3
1588856899,2,1
1588858819,0,2
1588860772,2,3
1588862654,1,4
1588864571,0,3
1588866502,1,2
1588868420,0,2
1588870335,0,2
1588872267,1,4
1588874214,0,1
1588876115,1,2
1588878082,0,2
1588879959,0,3
1588882128,0,1
1588884012,0,5
1588885944,0,3
1588887853,0,2
1588889769,0,2
1588891699,0,2
1588893611,1,1
1588895533,0,2
1588897469,0,2
1588899380,0,1
1588903251,0,2
1588907314,1,0
1588911133,1,0
1588913071,0,1
1588916890,0,2
1588918854,0,2
1588924584,1,0
1588926520,1,0
1588929373,5,0
1588931306,0,1
1588933223,2,1
1588935142,0,2
1588937058,4,0
1588938985,2,1
1588940894,3,1
1588943776,2,2
1588945693,1,1
1588947626,1,1
1588949541,1,1
1588953384,2,1
1588957382,1,0
1588959373,0,1
1588963457,0,1
1588965421,1,0
1588967303,1,0
1588978974,0,1
1588986742,1,0
1588992500,0,1
1588998263,0,1
1589008812,1,0
1589010730,1,1
1589012663,0,1
1589014570,0,2
1589016535,0,1
1589018621,0,2
1589020583,1,0
1589022507,2,3
1589024428,0,2
1589026341,1,4
1589030172,1,2
1589032099,1,1
1589034018,1,1
1589035942,1,1
1589037872,1,0
1589039787,7,1
1589041722,2,0
1589043741,1,1
1589047473,1,0
1589051312,1,0
1589053212,0,1
1589055130,1,0
1589058971,2,0
1589060890,1,0
1589062840,1,0
1589066656,1,0
1589074350,0,1
1589082501,1,0
1589090178,1,0
1589094998,1,1
1589096905,1,1
1589100774,1,1
1589104606,1,0
1589106497,0,1
1589108564,1,2
1589112291,1,1
1589114198,1,0
1589116097,1,1
1589118014,1,0
1589119949,1,2
1589121873,0,1
1589123804,1,1
1589125977,1,5
1589127883,0,4
1589129709,1,1
1589131692,1,0
1589133727,1,1
1589137489,1,1
1589141315,3,1
1589143227,1,0
1589145142,1,2
1589148972,1,1
1589150906,2,0
1589152811,0,1
1589154735,1,0
1589158569,1,0
1589162542,1,0
1589168419,0,2
1589170348,0,1
1589172255,1,0
1589176104,0,2
1589178014,6,0
1589179933,1,1
1589181885,0,1
1589183772,1,1
1589187788,2,1
1589189776,3,0
1589191946,0,1
1589193871,2,0
1589195781,0,1
1589197693,1,1
1589199623,0,1
1589201535,1,1
1589203452,0,1
1589205386,2,1
1589207290,0,1
1589210181,1,1
1589212106,1,1
1589214255,0,1
1589216173,2,1
1589218110,2,1
1589221233,1,1
1589223157,1,1
1589226983,1,2
1589228892,0,1
1589231779,1,2
1589233693,1,1
1589237532,1,1
1589241391,1,1
1589246192,1,1
1589248092,0,1
1589254096,1,0
1589258185,0,1
1589263938,0,5
1589265889,2,2
1589267772,5,0
1589269704,7,1
1589271644,6,0
1589273550,1,2
1589275456,2,2
1589277381,3,1
1589279293,1,0
1589281302,3,2
1589283166,2,1
1589285086,1,0
1589286982,2,1
1589290815,1,2
1589292734,2,0
1589294679,3,1
1589298494,3,1
1589300428,1,0
1589302338,2,2
1589304440,0,1
1589306591,1,1
1589308570,2,1
1589312448,3,1
1589314340,2,0
1589316270,2,1
1589320382,2,1
1589325501,1,2
1589327333,1,1
1589329228,3,0
1589331140,3,1
1589333074,1,0
1589334994,1,0
1589338909,2,1
1589340841,2,0
1589342914,1,0
1589344816,3,0
1589346742,1,1
1589348674,2,0
1589350575,2,1
1589352501,1,1
1589354473,2,5
1589356346,1,9
1589358257,2,4
1589360181,0,2
1589362096,2,2
1589364147,1,4
1589365959,2,1
1589367871,0,4
1589369787,1,2
1589371704,0,1
1589373868,1,2
1589375776,2,0
1589377705,1,2
1589379617,1,2
1589381538,0,2
1589383454,1,0
1589385384,0,3
1589387292,1,1
1589389346,0,2
1589391199,1,0
1589393079,0,1
1589394976,0,2
1589396919,1,0
1589398820,0,3
1589400826,0,2
1589402662,2,2
1589406491,0,2
1589410352,0,1
1589414185,0,3
1589416100,0,1
1589418171,0,3
1589420173,0,2
1589424030,1,0
1589426181,0,3
1589428095,0,2
1589430027,1,2
1589431946,0,1
1589433863,0,2
1589435816,1,1
1589437697,2,2
1589439758,1,1
1589442021,2,2
1589444185,2,3
1589446116,3,0
1589448025,2,2
1589449935,3,0
1589451854,1,3
1589453786,3,0
1589455722,1,1
1589458608,4,1
1589460505,2,0
1589462656,1,3
1589464585,3,0
1589466509,2,1
1589468504,4,0
1589470341,0,1
1589472162,3,0
1589474191,1,1
1589476118,3,0
1589478040,0,1
1589479953,3,0
1589481859,2,0
1589484017,1,1
1589485930,3,0
1589489768,4,0
1589494844,3,0
1589496740,3,0
1589500574,3,0
1589502504,1,0
1589505402,3,0
1589511137,0,1
1589515054,1,1
1589520973,1,1
1589524809,1,2
1589526976,2,1
1589528888,0,3
1589530824,0,1
1589532734,0,3
1589534692,0,2
1589536575,0,3
1589538490,1,1
1589541863,1,3
1589543772,0,4
1589545694,0,1
1589547795,2,3
1589551723,0,4
1589555827,0,4
1589557705,1,2
1589559632,0,2
1589561544,2,3
1589563450,3,1
1589565386,0,3
1589567292,2,0
1589570173,1,3
1589572094,1,2
1589574025,0,1
1589575937,0,3
1589577853,0,1
1589579785,1,3
1589583792,1,3
1589585771,1,0
1589587703,1,4
1589591539,1,3
1589593476,1,0
1589601132,0,1
1589604982,0,1
1589608856,0,1
1589610742,1,1
1589612560,1,2
1589620584,1,0
1589624423,0,1
1589626332,2,0
1589628268,0,1
1589630192,1,0
1589634204,0,2
1589638374,1,0
1589644110,0,1
1589647953,0,2
1589649869,0,2
1589653627,0,2
1589657190,0,1
1589659118,1,1
1589663205,1,0
1589667111,0,1
1589669379,1,0
1589671364,0,1
1589675373,0,1
1589677482,0,1
1589679643,0,1
1589681539,1,0
1589683477,1,0
1589697260,1,1
1589699076,2,1
1589702922,2,0
1589704820,2,0
1589706750,3,0
1589710840,2,0
1589712738,1,2
1589714660,2,0
1589716585,2,1
1589718552,3,0
1589720565,2,0
1589722575,1,0
1589724501,4,1
1589726450,2,0
1589728334,4,0
1589730309,4,0
1589732181,3,0
1589734349,2,0
1589736251,2,0
1589738174,2,0
1589740102,4,0
1589742973,5,1
1589744891,2,1
1589746827,5,0
1589748736,2,0
1589750672,4,1
1589752579,1,0
1589754491,4,0
1589756492,4,1
1589758349,2,0
1589760317,4,0
1589762225,1,0
1589764113,4,0
1589766011,1,0
1589767956,2,1
1589769857,1,1
1589771773,2,0
1589773710,1,0
1589779471,4,0
1589783346,0,1
1589785335,1,1
1589787136,3,1
1589789085,2,2
1589790986,0,1
1589793154,1,4
1589795063,1,0
1589797232,2,2
1589799138,2,1
1589801057,1,2
1589802981,1,2
1589804895,1,3
1589806989,2,2
1589808997,0,1
1589811158,2,4
1589813056,2,3
1589815013,1,3
1589816897,0,4
1589818821,1,3
1589820745,1,2
1589822655,0,3
1589824992,2,3
1589827224,0,4
1589829136,1,3
1589831080,0,2
1589832977,5,6
1589834965,0,2
1589836828,1,4
1589838741,3,1
1589840669,0,3
1589842578,2,4
1589844518,0,3
1589846573,1,3
1589848591,2,2
1589850510,1,4
1589852418,1,1
1589854358,1,2
1589856261,2,1
1589858204,2,2
1589860104,2,1
1589862020,1,0
1589865879,3,4
1589867776,2,0
1589869701,2,0
1589871773,2,1
1589873771,5,3
1589875945,4,2
1589877860,3,1
1589879782,4,1
1589881694,2,0
1589883627,4,2
