DateTime,AddedIPs,RemovedIPs
1588893622,62,70
1588895543,112,86
1588897470,88,100
1588899381,88,80
1588901301,93,92
1588903262,85,86
1588905153,91,234
1588907316,93,94
1588909216,72,71
1588911134,77,75
1588913075,100,99
1588914991,83,82
1588916891,92,98
1588918865,81,84
1588920736,93,99
1588922656,96,78
1588924585,96,61
1588926522,118,67
1588929375,159,140
1588931317,82,90
1588933225,63,46
1588935151,69,131
1588937072,74,94
1588938987,78,98
1588940896,86,59
1588943778,82,122
1588945694,78,101
1588947628,58,94
1588949543,63,101
1588951461,69,67
1588953385,56,47
1588955417,75,82
1588957392,66,95
1588959375,96,82
1588961574,76,81
1588963459,66,67
1588965424,82,42
1588967305,89,93
1588969216,59,65
1588971136,100,63
1588973067,45,90
1588974980,72,70
1588976893,65,72
1588978998,65,86
1588981011,64,98
1588982896,67,94
1588984819,61,96
1588986743,69,93
1588988655,85,83
1588990606,79,81
1588992502,72,104
1588994412,77,75
1588996340,77,75
1588998264,68,85
1589000210,79,96
1589002090,57,79
1589004165,67,94
1589006186,84,99
1589008115,66,90
1589010027,66,105
1589011946,73,100
1589013877,76,137
1589016019,79,105
1589017934,84,75
1589019866,91,68
1589021795,100,80
1589023732,70,68
1589025800,88,84
1589027794,68,86
1589029702,39,64
1589031616,82,62
1589033582,73,70
1589035458,118,49
1589037376,85,84
1589039303,93,62
1589041210,100,64
1589043145,118,77
1589045059,95,66
1589046977,97,75
1589048909,114,70
1589050923,102,72
1589052779,92,76
1589054690,85,80
1589056588,86,85
1589058525,89,78
1589060414,93,61
1589062339,75,77
1589064291,98,78
1589066176,95,58
1589068093,113,77
1589070027,93,63
1589071934,88,67
1589073860,84,60
1589075792,87,83
1589077755,82,88
1589080576,103,110
1589082502,87,77
1589084424,76,64
1589086337,90,88
1589088260,63,67
1589090180,99,62
1589092097,100,60
1589094999,163,115
1589096906,86,57
1589098823,61,59
1589100775,91,77
1589102713,70,63
1589104607,91,76
1589106500,92,93
1589108585,95,96
1589110664,90,84
1589112498,90,91
1589114411,87,62
1589116338,82,41
1589118254,116,86
1589120171,67,66
1589122121,96,107
1589124013,74,79
1589125979,127,85
1589127885,113,92
1589129711,76,102
1589131694,92,93
1589133774,67,84
1589135772,110,98
1589137691,90,107
1589139625,92,83
1589141535,67,87
1589143466,74,74
1589145373,88,91
1589148395,130,119
1589150246,83,88
1589152107,72,88
1589154015,72,117
1589155986,59,100
1589157862,49,87
1589159818,72,84
1589161735,90,91
1589163632,84,66
1589165536,84,72
1589167465,87,82
1589169383,82,75
1589171292,80,76
1589173386,82,75
1589175392,101,88
1589177313,99,82
1589179212,68,107
1589181143,85,98
1589183066,92,78
1589185229,77,82
1589187136,84,92
1589189093,73,56
1589190982,95,83
1589192902,69,88
1589195087,77,101
1589196999,65,87
1589198923,50,93
1589200814,59,78
1589202982,70,96
1589204916,51,108
1589206842,59,70
1589208756,79,106
1589210676,62,81
1589212571,64,124
1589214532,46,117
1589216535,72,80
1589218370,66,99
1589220270,59,61
1589222183,36,110
1589224118,63,89
1589226011,62,90
1589227933,54,69
1589229873,69,88
1589231781,44,97
1589233695,71,107
1589235626,55,67
1589237542,58,87
1589239468,52,70
1589241403,57,80
1589243294,50,58
1589246203,86,107
1589248093,46,83
1589250296,48,122
1589252187,61,86
1589254098,57,84
1589256217,59,92
1589258186,52,91
1589260104,50,96
1589262024,62,96
1589263938,59,102
1589265899,51,82
1589267772,45,98
1589269705,53,89
1589271647,43,110
1589273551,54,104
1589275456,60,90
1589277382,61,117
1589279294,105,87
1589282421,96,149
1589284342,60,72
1589286256,85,62
1589288183,75,88
1589290100,63,72
1589292973,119,95
1589294952,81,101
1589296821,67,76
1589298734,59,81
1589300654,61,66
1589302590,71,80
1589304449,60,82
1589306611,109,80
1589308580,87,38
1589310513,124,63
1589312450,137,63
1589314342,100,48
1589316282,68,67
1589318197,100,49
1589320384,94,80
1589322383,101,52
1589325525,185,87
1589327343,121,51
1589329241,110,55
1589331141,112,59
1589333085,72,50
1589334995,79,40
1589336896,68,51
1589338982,74,68
1589340845,122,59
1589342915,116,64
1589344818,89,49
1589346743,81,56
1589348676,82,68
1589350576,62,53
1589352502,96,49
1589354475,62,47
1589356347,93,56
1589358259,72,51
1589360182,72,48
1589362098,96,64
1589364240,88,72
1589366437,145,95
1589368356,91,53
1589370256,79,60
1589372196,79,77
1589374103,87,71
1589376014,78,53
1589377932,83,81
1589379861,89,78
1589381769,67,78
1589383739,78,67
1589386833,120,92
1589388744,57,60
1589390660,63,50
1589392596,69,69
1589394499,62,57
1589397389,124,146
1589399299,92,119
1589401512,99,86
1589403398,55,73
1589405356,72,90
1589407456,94,79
1589409372,108,78
1589411306,106,95
1589413217,90,130
1589415144,74,94
1589417072,82,96
1589418983,60,83
1589420946,85,94
1589422839,75,65
1589424768,80,57
1589426654,97,87
1589428596,84,142
1589430490,60,90
1589432603,66,92
1589434604,59,89
1589436536,68,65
1589438409,61,84
1589440582,74,62
1589442494,96,100
1589444427,78,67
1589446382,73,73
1589448270,106,100
1589450183,115,75
1589452091,79,124
1589454105,133,89
1589455958,137,95
1589457896,196,62
1589459815,148,91
1589461710,181,78
1589463628,116,91
1589465784,149,95
1589467695,97,71
1589469665,60,83
1589471567,61,79
1589473457,77,75
1589475374,116,56
1589477310,149,75
1589480438,278,94
1589482342,173,85
1589484268,175,71
1589486190,134,87
1589488099,107,84
1589490297,128,55
1589492273,169,99
1589494372,204,75
1589496257,210,108
1589498423,201,111
1589500336,150,65
1589502259,126,82
1589504180,124,67
1589506106,98,67
1589508219,118,91
1589510176,109,59
1589512106,83,84
1589514011,87,73
1589515955,108,75
1589517866,100,63
1589519792,98,47
1589521692,88,54
1589523657,103,60
1589525534,119,66
1589527470,125,67
1589529385,113,84
1589531294,92,77
1589533314,91,73
1589535141,58,100
1589537310,72,102
1589539219,71,92
1589541408,80,119
1589543294,74,160
1589545259,70,148
1589547138,89,122
1589549077,463,106
1589551376,58,130
1589553374,131,118
1589555828,74,79
1589557706,54,47
1589559633,55,63
1589561553,59,96
1589563451,57,126
1589565387,88,127
1589567302,63,163
1589569272,62,140
1589571147,43,154
1589573089,58,113
1589574985,46,90
1589576932,47,111
1589578822,62,175
1589580736,59,158
1589582676,56,226
1589584586,71,173
1589586507,76,161
1589588422,58,139
1589590342,63,148
1589592507,80,128
1589594557,63,143
1589596573,65,136
1589598518,60,101
1589600411,49,88
1589602334,71,145
1589604265,51,142
1589606193,65,121
1589608096,61,94
1589610137,40,124
1589611957,72,135
1589613853,54,134
1589615797,61,134
1589617691,60,118
1589620832,108,162
1589622734,57,73
1589624662,62,74
1589626585,83,75
1589628747,64,110
1589630749,61,70
1589632596,55,73
1589634515,57,62
1589636454,79,498
1589638385,85,45
1589640495,60,136
1589642668,65,69
1589644573,59,58
1589646490,58,49
1589648576,46,69
1589650608,53,72
1589652493,65,86
1589654432,92,66
1589656345,470,47
1589658163,66,51
1589660096,67,44
1589662374,55,57
1589664269,47,46
1589666183,57,51
1589668102,46,48
1589670401,70,79
1589673282,66,101
1589675375,45,51
1589677492,46,59
1589679645,55,73
1589681541,48,46
1589683479,35,58
1589685382,37,54
1589687306,49,47
1589689281,35,65
1589691139,51,51
1589693079,53,66
1589694978,53,48
1589697261,62,66
1589699078,47,58
1589700988,45,60
1589702923,42,58
1589704821,50,68
1589706751,44,56
1589708675,44,63
1589710842,56,52
1589712750,61,102
1589714662,51,64
1589716587,55,55
1589718553,40,67
1589720665,47,58
1589722577,45,102
1589724502,56,74
1589726452,57,70
1589728335,51,64
1589730311,65,76
1589732182,50,59
1589734351,60,73
1589736264,54,63
1589738175,54,83
1589740103,51,95
1589742091,60,289
1589743949,74,349
1589745845,52,91
1589747777,66,96
1589749748,59,100
1589751614,70,97
1589753549,67,78
1589755481,87,49
1589757373,65,60
1589759553,53,49
1589761464,68,40
1589763383,57,45
1589765297,46,45
1589768470,240,69
1589770340,59,47
1589772291,50,52
1589774181,54,48
1589776102,73,37
1589778182,72,60
1589780187,58,50
1589782098,70,57
1589784012,56,55
1589785943,58,48
1589787881,53,50
1589789864,69,43
1589791723,63,41
1589793616,76,51
1589795544,101,44
1589797478,51,46
1589799372,79,49
1589801303,56,56
1589804426,106,81
1589806334,116,36
1589808265,94,61
1589810186,62,51
1589812341,63,58
1589814516,72,73
1589816453,58,64
1589818355,60,54
1589820268,64,56
1589822200,65,47
1589824096,63,49
1589826028,42,56
1589827938,47,56
1589829858,89,64
1589831799,84,57
1589833697,85,65
1589835900,106,61
1589837782,106,68
1589840007,88,85
1589841876,82,81
1589843778,71,69
1589845958,76,57
1589847885,70,57
1589849781,73,51
1589851690,48,45
1589854843,115,234
1589856747,51,60
1589858670,67,53
1589860587,75,53
1589862505,75,66
1589864606,72,77
1589866439,54,58
1589868321,164,66
1589870213,79,66
1589872144,71,59
1589874028,52,59
1589875946,83,59
1589877862,78,74
1589879783,60,60
1589881696,51,110
1589883638,71,53
