DateTime,AddedIPs,RemovedIPs
1588080265,1,1
1588082176,0,1
1588084100,0,2
1588086060,1,0
1588087965,0,1
1588110983,0,1
1588112893,0,1
1588115772,1,0
1588123471,1,1
1588127303,1,0
1588129440,0,2
1588131387,0,2
1588135217,2,1
1588137145,0,1
1588142908,1,1
1588144822,2,0
1588146735,0,2
1588148668,1,1
1588152494,0,1
1588162383,0,2
1588166436,0,1
1588168342,1,1
1588170265,5,0
1588172184,0,1
1588178192,1,0
1588180095,1,0
1588182048,1,0
1588193537,2,0
1588197394,1,0
1588201350,0,1
1588203198,1,0
1588205066,1,0
1588206977,0,1
1588210900,0,1
1588212753,0,1
1588216594,1,0
1588220429,1,2
1588232184,0,1
1588234094,3,1
1588237945,0,1
1588239855,1,1
1588245865,1,0
1588247814,1,0
1588249703,1,0
1588252856,1,0
1588256665,1,3
1588260497,0,1
1588266518,0,1
1588268434,0,1
1588281615,0,2
1588283542,0,2
1588285509,0,1
1588289301,0,1
1588292454,1,1
1588296265,1,0
1588300114,3,0
1588302204,2,0
1588306106,0,1
1588308023,1,0
1588310917,1,0
1588312860,3,0
1588319642,1,1
1588321455,1,2
1588323420,0,1
1588325305,3,1
1588327481,0,1
1588331298,0,2
1588335148,1,0
1588337074,0,1
1588338982,2,1
1588342820,1,1
1588359381,1,0
1588367049,2,0
1588368996,1,0
1588371287,2,0
1588373300,1,0
1588375209,0,1
1588379061,0,1
1588381013,2,0
1588382890,0,1
1588386023,4,0
1588387952,2,3
1588389919,2,1
1588397658,0,2
1588399484,0,2
1588401380,1,0
1588403341,1,0
1588405232,1,0
1588407148,2,1
1588410989,1,2
1588414848,0,1
1588416757,1,0
1588424764,1,2
1588428501,0,2
1588438337,2,0
1588442175,0,1
1588447012,1,1
1588448906,0,1
1588452742,0,1
1588454676,0,2
1588456577,0,1
1588458503,0,1
1588460696,1,0
1588466428,0,2
1588470262,0,2
1588472201,0,1
1588474131,0,2
1588476027,0,2
1588477932,1,1
1588481806,1,0
1588485751,1,0
1588487571,0,1
1588489706,1,0
1588491629,0,1
1588493558,0,3
1588495461,1,0
1588497386,1,1
1588499331,0,1
1588503153,1,1
1588505066,2,0
1588506979,1,0
1588508896,1,0
1588511043,0,1
1588513015,1,0
1588524502,2,2
1588526430,1,0
1588528350,0,1
1588530336,2,0
1588532192,1,0
1588544695,0,1
1588548508,0,1
1588554527,1,0
1588556456,1,0
1588560294,1,0
1588562176,0,1
1588564114,0,1
1588567991,0,1
1588571779,0,1
1588575898,0,1
1588579992,1,0
1588581864,1,1
1588583786,1,1
1588589551,1,0
1588591470,0,2
1588593428,0,1
1588595308,1,1
1588597373,2,0
1588609003,1,0
1588610906,0,2
1588612823,0,1
1588614739,1,0
1588616672,1,2
1588618631,1,1
1588624586,1,0
1588630365,1,0
1588639934,1,1
1588641927,3,0
1588643806,1,0
1588647860,1,2
1588649799,0,1
1588651712,3,0
1588653624,1,0
1588657459,1,0
1588659389,1,0
1588661307,1,0
1588665140,2,0
1588667081,1,2
1588670894,1,1
1588678818,0,1
1588680839,0,1
1588682655,0,1
1588684578,1,1
1588686768,1,0
1588688700,1,0
1588690571,1,0
1588692510,1,0
1588694582,0,1
1588700412,0,1
1588702339,1,0
1588704286,1,0
1588706186,0,1
1588710009,1,1
1588713867,1,0
1588715776,0,1
1588725383,0,1
1588727305,0,1
1588729240,0,3
1588731136,1,0
1588733068,0,1
1588738819,0,1
1588740742,3,1
1588742653,1,1
1588746524,1,1
1588748559,1,1
1588750577,1,1
1588754416,2,1
1588756334,1,1
1588758269,0,1
1588760433,3,0
1588764258,1,0
1588766186,1,0
1588771969,1,0
1588773931,1,2
1588775789,1,1
1588777713,0,2
1588779625,1,0
1588785375,1,0
1588787308,2,0
1588791140,1,1
1588793067,1,2
1588794983,0,1
1588796895,0,1
1588798996,1,0
1588800807,1,1
1588810573,1,0
1588812504,1,0
