DateTime,AddedIPs,RemovedIPs
1588191626,6,2
1588197394,0,1
1588205066,1,0
1588206978,1,0
1588208907,1,0
1588210901,1,0
1588212754,1,0
1588216594,2,0
1588218542,1,0
1588220430,1,0
1588222348,2,1
1588226238,0,1
1588230224,3,1
1588232184,2,1
1588234095,1,2
1588236015,3,0
1588237945,1,0
1588239856,2,1
1588252858,0,1
1588254747,0,1
1588256666,1,0
1588270596,1,1
1588274888,0,2
1588277791,1,6
1588287423,1,0
1588292455,0,1
1588294331,1,2
1588296266,1,0
1588298175,2,1
1588302210,2,1
1588304209,0,2
1588306107,1,1
1588308023,0,1
1588309978,1,0
1588313799,1,0
1588317723,2,4
1588319644,0,1
1588321456,0,1
1588323421,3,1
1588325306,1,2
1588327488,0,1
1588329390,2,0
1588331298,2,0
1588335149,0,1
1588337074,1,0
1588340928,0,1
1588342821,1,1
1588346673,1,0
1588350527,0,1
1588353622,0,1
1588355542,1,1
1588365373,0,1
1588373300,2,1
1588377138,1,0
1588381014,1,1
1588382890,1,0
1588386023,1,2
1588387952,1,2
1588389919,1,0
1588391782,1,1
1588393702,1,0
1588395846,1,1
1588397658,1,0
1588399485,2,1
1588401380,2,0
1588403341,1,1
1588405233,1,1
1588408124,1,0
1588410078,1,3
1588411949,1,1
1588415780,0,2
1588417698,0,2
1588419621,1,0
1588423454,0,1
1588425675,1,0
1588427538,1,0
1588429464,0,1
1588433541,0,1
1588439347,1,0
1588441220,0,1
1588445083,1,0
1588447012,1,1
1588448906,1,0
1588458503,0,1
1588460698,1,1
1588462643,1,1
1588470262,0,1
1588472201,1,0
1588474131,0,1
1588476027,0,1
1588477932,0,1
1588479858,0,1
1588481806,0,2
1588483694,0,1
1588485758,0,2
1588487571,0,1
1588489706,1,2
1588491629,0,1
1588493559,1,1
1588495462,1,1
1588497386,1,1
1588501216,1,0
1588503153,1,0
1588505066,1,1
1588506979,2,0
1588513016,0,1
1588514926,0,1
1588516839,1,0
1588520665,2,0
1588526431,0,1
1588532192,0,3
1588536068,0,1
1588545615,1,0
1588547795,0,1
1588549689,1,1
1588551621,1,0
1588559354,1,1
1588566985,1,0
1588575898,0,1
1588577814,1,0
1588579993,0,1
1588581865,1,1
1588583787,0,1
1588587668,2,1
1588589552,0,1
1588591471,1,1
1588593429,0,1
1588603218,1,1
1588607074,0,2
1588609004,1,0
1588618631,2,0
1588626510,1,0
1588632253,1,1
1588636144,0,1
1588638060,2,0
1588643807,2,0
1588645740,0,1
1588647866,2,0
1588651712,1,0
1588653624,0,1
1588657459,0,1
1588659389,3,0
1588663261,2,1
1588667081,2,1
1588668980,0,1
1588670895,1,0
1588672959,0,1
1588674984,0,1
1588678818,0,1
1588682656,1,0
1588684579,2,0
1588690572,0,1
1588694592,1,0
1588696572,0,1
1588704286,1,1
1588706187,0,1
1588708090,1,0
1588711930,0,1
1588713867,1,0
1588720846,0,1
1588722734,1,0
1588724665,1,2
1588728499,1,0
1588730518,0,2
1588734185,0,2
1588736174,2,0
1588738096,1,1
1588740027,1,0
1588741935,1,0
1588743862,4,0
1588745793,0,3
1588749633,0,2
1588751565,3,0
1588753460,1,1
1588755398,3,0
1588757291,0,1
1588760433,3,0
1588762338,1,0
1588766187,2,0
1588768113,0,1
1588770170,0,2
1588772212,1,0
1588780101,0,1
1588787771,2,0
1588789695,1,0
1588792602,0,1
1588794512,1,0
1588798333,1,1
1588800291,0,1
1588802262,2,1
1588806294,1,0
1588808189,1,1
1588810125,1,1
1588813948,1,1
1588818021,2,0
1588819939,1,0
1588823776,2,3
1588825695,0,1
1588827907,1,1
1588829790,1,4
1588831703,1,0
1588837457,0,2
1588839373,1,2
1588841315,0,2
1588845137,1,3
1588847070,2,1
1588848980,1,1
1588850900,0,1
1588853085,1,1
1588855011,2,0
1588858823,1,0
1588866507,2,0
1588874230,1,2
1588876128,0,1
1588878283,1,0
1588882139,0,1
1588884018,0,1
1588889773,0,2
1588893624,1,2
1588895549,1,1
1588899384,2,0
1588901303,0,1
1588903297,1,1
1588905158,0,1
1588907318,2,1
1588911139,2,2
1588914993,0,1
1588916893,0,1
1588918867,1,1
1588924590,0,1
1588926524,1,0
1588928483,3,0
1588930353,2,1
1588932289,1,1
1588934172,0,2
1588938015,0,1
1588939935,0,1
1588941868,0,1
1588945697,1,1
1588953393,1,1
1588955423,1,0
1588961576,1,1
1588965426,0,1
1588974985,2,1
1588979099,0,1
1588981044,1,0
1588982897,0,1
1588984822,1,1
1588986745,0,1
1588988657,0,1
1588992507,1,1
1588994415,0,1
1588996342,1,0
1588998266,1,2
1589000215,2,0
1589004235,0,1
1589006188,1,0
1589011948,1,1
1589016022,0,6
1589017937,1,0
1589019868,0,1
1589023734,1,0
1589025842,3,0
1589027796,1,0
1589031620,0,1
1589033585,1,0
1589035461,1,0
1589041229,1,1
1589043148,1,0
1589045062,0,1
1589048911,0,1
1589060669,0,1
1589062597,0,1
1589068335,0,1
1589070255,1,0
1589072183,0,1
1589078292,0,1
1589082018,0,1
1589083934,2,0
1589085868,0,2
1589089693,2,0
1589095467,0,1
1589097417,0,1
1589101370,1,0
1589103300,0,1
1589105561,1,1
1589111331,0,3
1589113242,0,1
1589115139,0,1
1589118973,0,1
1589120895,0,1
1589127887,0,1
1589133815,2,0
1589135774,2,0
1589145375,1,0
1589153066,1,0
1589154971,0,1
1589156897,1,0
1589161074,1,0
1589170576,0,2
1589174471,2,0
1589176334,0,2
1589180175,1,0
1589182093,0,1
1589190023,1,1
1589191949,1,1
1589197696,1,0
1589207292,1,0
1589209336,2,0
1589211137,2,0
1589217033,1,0
1589219072,0,1
1589220977,0,1
1589223160,0,2
1589226987,1,0
1589232974,0,1
1589236838,1,0
1589242574,1,2
1589244492,1,0
1589246423,1,1
1589248333,1,0
1589250302,1,0
1589252190,1,0
1589260107,0,1
1589262028,0,1
1589265902,0,1
1589269708,2,0
1589275462,0,1
1589277386,0,1
1589281439,2,0
1589287212,1,0
1589291066,2,0
1589294956,0,2
1589296824,1,2
1589298737,1,0
1589304505,0,1
1589306623,2,0
1589314344,0,1
1589316288,1,0
1589320389,1,0
1589322484,1,1
