DateTime,AddedIPs,RemovedIPs
1587671552,0,2
1587673614,1,0
1587677771,2,2
1587689292,0,2
1587693143,0,1
1587697031,0,1
1587698890,0,2
1587700915,1,1
1587704696,2,0
1587708505,1,0
1587712379,1,0
1587714256,0,1
1587723872,1,1
1587725802,1,0
1587729829,0,1
1587731785,1,1
1587733759,0,1
1587737548,1,0
1587739466,0,2
1587741372,1,0
1587743301,1,0
1587745488,0,1
1587749307,1,0
1587751421,0,2
1587753400,3,1
1587757455,1,0
1587759390,0,1
1587765143,0,2
1587770888,1,0
1587773776,1,0
1587781716,2,0
1587785547,0,1
1587789378,0,1
1587791312,0,1
1587795133,0,1
1587798982,0,1
1587804736,2,0
1587806667,1,0
1587810506,0,1
1587812531,0,1
1587818193,0,1
1587822119,1,0
1587823955,0,1
1587827773,0,1
1587829704,0,1
1587837375,0,1
1587839296,2,1
1587841324,0,2
1587843141,1,1
1587856577,0,1
1587858509,1,1
1587862341,1,0
1587868106,0,2
1587874105,1,0
1587891399,1,2
1587893564,0,1
1587899332,1,0
1587901240,2,0
1587903152,2,0
1587905056,1,0
1587908791,2,1
1587912739,1,0
1587918525,1,0
1587925251,0,2
1587929063,0,1
1587937089,1,0
1587938911,1,0
1587944666,0,1
1587946584,1,0
1587948500,0,1
1587950432,2,0
1587954268,1,0
1587958114,1,0
1587960215,2,1
1587967499,1,0
1587971309,1,0
1587973231,1,0
1587977074,0,1
1587984756,2,0
1587986667,1,1
1587988604,1,2
1587990501,0,2
1587993386,0,1
1587995314,0,2
1587999147,0,1
1588001103,1,0
1588004923,1,1
1588012833,1,0
1588016656,1,0
1588020506,1,0
1588024336,0,1
1588026271,0,1
1588033224,1,1
1588037090,0,2
1588040897,0,1
1588042962,1,0
1588044984,0,1
1588047160,0,2
1588051018,1,0
1588052915,1,1
1588056743,2,0
1588058672,1,1
1588060613,0,1
1588067313,1,0
1588071142,0,2
1588073098,0,1
1588075070,2,1
1588085558,1,0
1588087727,0,1
1588091776,2,1
1588095612,1,0
1588099471,1,1
1588103290,0,1
1588107137,1,1
1588117694,2,0
1588119653,0,1
1588129452,0,1
1588135219,1,0
1588137146,0,1
1588139067,0,1
1588142909,0,1
1588144824,0,2
1588152495,0,1
1588159462,1,0
1588161376,1,2
1588163569,1,0
1588169318,1,0
1588171240,2,0
1588173416,1,1
1588175339,1,0
1588177226,0,1
1588179160,0,1
1588181064,0,1
1588182998,1,0
1588187074,0,1
1588191138,1,0
1588193065,1,1
1588195009,1,0
1588198823,1,0
1588204633,2,2
1588209371,2,0
1588211321,1,0
1588215150,1,0
1588220912,0,1
1588230988,1,0
1588240592,1,0
1588246591,0,2
1588248518,1,0
1588250431,1,1
1588252344,1,0
1588254277,3,0
1588256434,0,1
1588258370,0,2
1588260265,0,1
1588262190,1,1
1588270117,0,1
1588278011,0,1
1588279931,1,1
1588281866,1,1
1588283772,1,1
1588287871,2,0
1588291741,1,0
1588297454,0,1
1588301541,0,1
1588318299,1,1
1588322175,1,0
1588324113,1,0
1588328225,0,1
1588333942,1,1
1588335871,1,0
1588337780,0,1
1588339701,0,3
1588341838,1,1
1588343669,1,0
1588345518,2,0
1588347396,0,1
1588351263,1,0
1588359147,1,0
1588367096,0,1
1588368997,0,1
1588371294,1,1
1588373302,1,1
1588375213,0,1
1588377140,0,1
1588381015,1,0
1588387954,1,0
1588395849,1,0
1588403343,1,1
1588407179,0,1
1588409075,0,1
1588410991,2,0
1588412935,1,0
1588414870,1,0
1588420616,0,1
1588422530,0,1
1588424765,1,0
1588428502,0,1
1588430476,1,1
1588432471,0,2
1588436425,0,1
1588438337,1,0
1588440297,1,0
1588447013,0,1
1588458504,1,1
1588460718,0,1
1588462643,1,0
1588464497,1,0
1588466429,0,1
1588472202,1,0
1588474132,0,1
1588481807,0,1
1588489707,0,1
1588495462,1,0
1588497387,0,2
1588499332,0,1
1588501217,0,1
1588503154,1,0
1588511048,0,1
1588516840,1,1
1588524503,0,1
1588526432,0,1
1588540820,1,0
1588542758,1,0
1588544696,0,1
1588548508,2,1
1588550595,1,1
1588560295,1,1
1588564114,1,0
1588566024,1,0
1588575901,1,0
1588579993,2,0
1588581895,0,1
1588589553,0,1
1588591471,2,0
1588593429,1,0
1588603219,1,1
1588614740,1,0
1588616673,2,0
1588624587,3,0
1588626510,1,0
1588628464,0,2
1588634175,0,1
1588636144,0,2
1588643808,1,0
1588647872,2,1
1588651713,1,2
1588663263,1,1
1588665141,0,1
1588667082,0,1
1588668981,1,0
1588676901,0,1
1588678820,0,2
1588682657,1,0
1588690572,0,1
1588694605,1,0
1588696574,1,0
1588700413,1,1
1588702340,0,2
1588708096,1,0
1588710011,0,3
1588711932,0,1
1588731136,2,1
1588733068,1,1
1588734987,1,1
1588736893,1,0
1588738819,1,1
1588748572,1,1
1588754417,0,1
1588768114,1,1
1588774366,1,0
1588780101,0,1
1588782023,0,1
1588787771,0,1
1588792602,1,0
1588794513,0,1
1588808190,1,0
1588810126,1,0
1588818021,0,2
1588819940,0,1
1588821868,0,1
1588823778,0,2
1588833630,0,1
1588841316,1,0
1588855012,1,1
1588860778,1,1
1588880207,1,1
1588882140,1,0
1588893625,1,1
1588897479,1,1
1588909220,2,0
1588926525,0,1
1588928521,1,0
1588938016,1,0
1588939937,1,0
1588941868,0,1
1588945698,0,1
1588949545,1,0
1588951490,2,0
1588953395,1,0
1588959378,1,0
1588965427,0,1
1588967307,0,1
1588973070,1,0
1588974985,2,0
1588976897,1,0
1588979102,0,1
1588984824,0,1
1588992508,2,0
1588994415,0,1
1588996343,0,1
1589016023,0,1
1589021797,1,0
1589025848,0,2
1589033586,1,0
1589037384,0,3
1589039306,0,1
1589045062,1,1
1589048911,1,0
1589056817,2,0
1589058732,0,1
1589062598,0,3
1589072183,1,0
1589078293,0,1
1589080112,0,1
1589085869,1,0
1589107463,0,1
1589118974,0,1
1589123806,1,0
1589126003,2,0
1589131696,0,1
1589133833,1,0
1589135775,0,1
1589139627,1,0
1589141537,1,2
1589154971,0,3
1589159086,0,2
1589166752,1,0
1589170577,1,0
1589172502,0,1
1589191950,1,0
1589195785,1,0
1589207293,1,0
1589210410,1,1
1589212335,0,2
1589216175,2,0
1589218113,1,0
1589221236,0,1
1589225057,1,1
1589228897,0,1
1589230994,1,0
1589236839,1,0
1589240669,1,0
1589244493,1,0
1589248333,1,0
1589250302,2,0
1589252191,1,0
1589254102,0,1
1589256341,0,1
1589277386,0,1
1589281448,1,0
1589283377,0,1
1589292977,1,1
1589294957,0,1
1589300656,1,0
1589302592,0,2
1589304510,1,1
1589310517,1,1
1589312452,1,0
1589318206,0,1
1589322507,1,0
1589325625,1,1
1589327790,1,1
1589329701,1,1
1589334505,0,1
1589336444,0,1
1589338343,0,2
1589342197,2,0
1589358013,1,0
1589368828,0,1
1589378736,0,1
1589384442,1,0
1589386347,0,1
1589388281,1,0
1589390183,2,1
1589396194,0,1
1589398169,1,1
1589404183,2,0
1589407933,0,1
1589411783,0,1
1589413693,1,0
1589415648,0,2
1589417543,1,0
1589423300,1,0
1589425412,1,0
1589429334,0,2
1589435098,1,0
1589436977,1,0
1589444660,0,1
1589446611,1,0
1589458348,2,0
1589462218,1,0
1589466027,2,0
1589469931,1,1
1589473707,1,1
1589475889,0,2
1589484024,0,1
1589485933,1,0
1589487868,1,0
1589489772,0,1
1589491698,1,1
1589499855,0,1
1589501846,1,0
1589503696,0,1
1589505640,1,0
1589509455,1,1
1589511383,0,1
1589516427,1,0
1589522189,0,1
1589524093,0,1
1589528202,1,0
1589534273,0,1
1589541866,1,0
1589543775,1,1
1589545696,0,1
1589547861,1,1
1589550049,1,0
1589552198,0,1
1589554093,1,1
1589556321,0,1
1589558187,2,0
1589560119,0,1
1589562989,2,0
1589568736,1,0
1589570665,1,0
1589572586,0,2
1589577629,0,1
1589588171,0,1
1589592027,0,1
1589596095,1,1
1589603777,0,1
1589615291,0,1
1589617252,2,0
1589626949,1,0
1589628986,2,1
1589631155,0,1
1589633058,1,1
1589635045,0,1
1589641002,0,1
1589643148,2,1
1589645105,1,1
1589648932,0,1
1589650818,0,1
1589654724,0,1
1589657195,0,1
1589665093,2,0
1589677495,1,0
1589681545,0,1
1589702929,0,2
1589704825,1,0
1589708677,1,0
1589712753,0,1
1589714666,1,0
1589716590,0,2
1589718570,0,1
1589720720,1,0
1589728338,0,1
1589730315,1,2
1589746342,1,0
1589748262,2,0
1589750216,1,2
