DateTime,AddedIPs,RemovedIPs
1588899388,61,74
1588901306,61,70
1588904422,140,101
1588906335,79,72
1588908257,61,78
1588910181,69,94
1588912090,59,68
1588914996,96,101
1588916896,53,62
1588918871,66,76
1588920788,58,77
1588922677,64,59
1588924593,61,62
1588926528,69,64
1588928607,54,61
1588930590,58,61
1588932505,59,80
1588934418,104,63
1588936342,61,75
1588938268,71,71
1588940181,65,64
1588942349,74,81
1588944282,64,80
1588946187,52,83
1588948095,124,61
1588950168,65,118
1588951981,49,70
1588953894,50,54
1588955786,82,66
1588957718,61,68
1588959619,54,58
1588961579,55,64
1588963489,67,63
1588965430,63,70
1588967310,59,54
1588969248,62,77
1588971141,71,71
1588973072,74,56
1588974988,76,65
1588976899,80,65
1588979116,95,72
1588981047,66,78
1588982900,67,73
1588984828,73,108
1588986748,70,58
1588988660,80,75
1588990632,79,73
1588992511,67,62
1588994418,93,60
1588996345,88,92
1588998273,101,72
1589000218,94,58
1589002095,87,52
1589004297,94,77
1589006192,75,70
1589008121,92,60
1589010041,72,67
1589011951,145,78
1589013884,82,58
1589016042,114,82
1589017940,83,70
1589019881,77,73
1589021819,86,135
1589023737,64,68
1589025877,90,61
1589027800,232,78
1589029721,550,68
1589031623,73,75
1589033590,73,131
1589035464,68,80
1589037387,63,61
1589039308,66,68
1589041233,83,62
1589043151,98,61
1589045089,75,46
1589046982,83,55
1589048914,66,67
1589051094,80,74
1589052976,91,71
1589054910,97,58
1589056820,67,69
1589058734,75,96
1589060673,71,109
1589062600,81,85
1589064498,89,95
1589066443,77,79
1589068338,105,85
1589070258,145,88
1589072186,102,81
1589074138,85,82
1589076361,73,95
1589078309,69,83
1589080115,71,83
1589082022,94,107
1589083937,75,98
1589085872,87,79
1589087794,70,85
1589089697,72,83
1589091625,68,86
1589093588,85,89
1589095471,105,77
1589097420,1642,83
1589099304,828,165
1589101378,1426,77
1589103336,974,88
1589105564,1454,83
1589107467,1264,70
1589109419,1076,59
1589111393,1087,71
1589113245,872,82
1589115143,1237,431
1589117082,1200,61
1589118979,525,52
1589120901,58,55
1589122920,56,65
1589124746,167,47
1589126704,275,64
1589128577,143,72
1589130508,92,54
1589132417,93,49
1589134243,103,66
1589136087,131,60
1589137945,149,60
1589139876,507,62
1589141794,386,45
1589143698,83,51
1589145665,96,62
1589147542,127,50
1589149470,104,52
1589151380,88,49
1589153299,67,52
1589155498,131,150
1589157388,1084,66
1589159307,903,51
1589161491,2658,62
1589163386,998,49
1589165308,938,69
1589167218,783,68
1589169137,445,57
1589171071,95,50
1589172980,87,53
1589174900,96,48
1589177032,82,53
1589178984,81,78
1589180897,185,53
1589182865,888,548
1589184767,770,755
1589186664,906,633
1589188645,773,751
1589190498,837,851
1589192461,769,1038
1589194339,964,1034
1589196278,826,1059
1589198192,937,939
1589200099,890,918
1589202224,1001,1291
1589204069,844,1052
1589205942,687,171
1589207881,963,51
1589209708,814,55
1589211651,921,81
1589213798,925,81
1589215697,826,52
1589217641,744,60
1589219556,871,68
1589221471,760,91
1589223412,807,83
1589225311,664,97
1589228437,1294,626
1589230346,672,54
1589232255,999,54
1589234185,730,68
1589236107,649,66
1589238160,741,66
1589240184,689,65
1589242110,241,75
1589244014,55,110
1589245931,62,291
1589247873,70,1368
1589249804,86,129
1589251706,90,104
1589253651,90,114
1589255545,93,390
1589257469,104,905
1589259375,93,1221
1589261306,84,1289
1589264189,143,1973
1589266117,448,1265
1589268020,311,976
1589269938,103,1113
1589271889,80,943
1589273776,107,1020
1589275705,86,909
1589277837,97,1004
1589279783,89,908
1589281730,86,830
1589283618,78,994
1589285552,71,878
1589287478,68,1123
1589289379,67,796
1589291297,94,864
1589293232,72,845
1589295138,76,1029
1589297060,65,883
1589298997,73,903
1589300899,74,763
1589302970,122,876
1589305001,193,912
1589306916,84,811
1589308820,75,831
1589310741,79,747
1589312700,92,872
1589314583,67,761
1589316746,104,798
1589318665,177,1339
1589321136,146,908
1589323129,119,807
1589325144,212,701
1589326966,224,704
1589329246,887,186
1589331144,1302,78
1589333089,1703,67
1589334998,1703,67
1589336900,1408,93
1589339074,1636,105
1589340875,106,422
1589342919,100,346
1589344821,107,96
1589346746,85,109
1589348679,98,94
1589350578,101,94
1589352505,129,96
1589354477,109,105
1589356350,115,108
1589358262,114,82
1589360185,93,91
1589362101,89,88
1589364296,103,115
1589366440,94,96
1589368358,72,83
1589370259,69,77
1589372199,66,63
1589374106,89,65
1589376018,73,102
1589377936,72,54
1589379864,67,69
1589381773,61,72
1589383742,71,53
1589386835,91,82
1589388748,616,254
1589390663,1347,666
1589392600,1409,118
1589394503,1367,44
1589397393,2165,77
1589399302,1409,69
1589401516,1348,55
1589403401,1464,65
1589405358,1144,61
1589407506,1539,165
1589409375,1232,107
1589411308,1186,194
1589413223,1624,136
1589415146,1413,387
1589417075,1572,616
1589418987,1326,824
1589420949,1429,1052
1589422842,1153,1384
1589424773,1320,1786
1589426658,1260,377
1589428600,1563,124
1589430494,1186,97
1589432694,1565,107
1589434608,1475,106
1589436539,1398,93
1589438423,1441,112
1589440586,1497,125
1589442498,1604,114
1589444431,1298,111
1589446387,1580,101
1589448274,649,84
1589450187,102,95
1589452094,73,69
1589454232,73,73
1589456196,76,70
1589458095,72,67
1589460039,72,90
1589462221,75,72
1589464100,66,88
1589466031,61,69
1589467940,61,62
1589469936,63,81
1589471777,52,51
1589473734,58,62
1589475902,64,1063
1589477799,56,1679
1589479963,52,1671
1589481868,54,1707
1589484062,66,1858
1589485936,77,1606
1589488818,379,2022
1589490762,363,1372
1589492672,403,1671
1589494847,364,1491
1589496743,365,1513
1589498687,371,1497
1589500577,411,1867
1589502507,382,1492
1589505413,564,2427
1589507296,424,1497
