DateTime,AddedIPs,RemovedIPs
1588858829,0,3
1588860784,3,0
1588862665,0,1
1588864583,0,4
1588866513,2,0
1588868433,1,2
1588870347,3,2
1588872308,2,0
1588874236,0,1
1588876135,4,1
1588878336,1,0
1588882146,4,1
1588884031,4,0
1588885954,1,0
1588887894,0,2
1588891720,2,3
1588893630,2,0
1588895555,2,0
1588897484,2,0
1588899390,2,3
1588901309,2,2
1588903414,2,2
1588905376,7,2
1588907323,3,2
1588909225,5,1
1588913082,6,0
1588915014,3,4
1588916899,2,1
1588918875,7,0
1588920791,0,5
1588922680,2,5
1588924596,4,0
1588926530,0,3
1588928651,1,2
1588930592,1,2
1588932507,2,0
1588934441,0,3
1588936348,0,1
1588938271,1,1
1588940183,1,1
1588942351,4,1
1588944284,9,2
1588946189,2,2
1588948097,4,1
1588950192,1,0
1588952174,0,1
1588954103,0,1
1588956012,2,3
1588957934,3,2
1588959866,1,1
1588962015,6,3
1588963934,7,2
1588965865,2,0
1588967771,2,2
1588969695,0,5
1588971740,3,1
1588973784,0,1
1588977615,5,1
1588979565,0,3
1588981453,2,1
1588983394,4,3
1588985299,2,0
1588987221,0,3
1588989130,4,2
1588991081,5,8
1588992973,4,0
1588994889,2,8
1588998017,10,1
1588999937,2,6
1589001866,0,2
1589003779,0,3
1589005698,1,6
1589009784,3,4
1589011708,2,2
1589013683,5,0
1589015580,1,1
1589017459,0,2
1589019623,3,1
1589025378,2,1
1589027292,2,3
1589029394,1,3
1589031428,0,10
1589033317,1,4
1589035216,5,1
1589037149,3,0
1589039062,2,0
1589042910,6,2
1589045092,0,3
1589046984,0,2
1589048916,4,8
1589051097,1,4
1589052978,2,2
1589054912,0,2
1589056823,6,2
1589058737,6,1
1589060675,3,0
1589062602,3,0
1589064500,0,5
1589066445,1,1
1589068340,2,1
1589070261,3,5
1589072188,3,1
1589074140,1,2
1589076416,0,5
1589078311,3,4
1589080127,3,2
1589082025,0,3
1589083939,1,6
1589085874,1,5
1589087796,1,0
1589089699,1,0
1589091627,2,0
1589093590,0,1
1589095473,2,2
1589097423,4,3
1589099311,1,1
1589101381,7,5
1589103348,8,0
1589105566,2,1
1589107471,2,2
1589109421,2,0
1589111395,6,1
1589113248,1,2
1589115145,2,2
1589118984,2,1
1589120905,0,3
1589122977,0,5
1589125147,0,1
1589127152,13,1
1589129105,1,5
1589130976,1,1
1589132903,2,0
1589135056,1,3
1589136973,0,2
1589138907,2,2
1589142977,0,5
1589144904,2,7
1589146858,2,2
1589148758,9,4
1589150660,6,0
1589152574,5,1
1589154510,8,2
1589156433,2,2
1589158340,2,4
1589160270,3,1
1589162175,2,0
1589164123,5,2
1589166186,5,4
1589168190,12,0
1589170352,2,1
1589172258,1,1
1589174207,4,1
1589176106,1,1
1589178022,4,2
1589179936,5,0
1589181887,4,2
1589183775,1,4
1589185696,0,1
1589187893,3,7
1589189815,4,8
1589191954,2,2
1589193884,1,2
1589195791,4,2
1589197726,3,6
1589199633,0,1
1589201542,0,2
1589203461,1,0
1589205398,1,2
1589207322,3,0
