DateTime,AddedIPs,RemovedIPs
1588729722,3,1
1588731624,2,1
1588733569,0,1
1588735469,1,3
1588737410,6,0
1588739313,1,0
1588741404,2,0
1588743376,3,1
1588747219,4,0
1588749155,1,1
1588751085,4,1
1588758736,1,1
1588760675,2,1
1588762587,0,4
1588764505,0,1
1588766547,3,0
1588768353,0,1
1588770184,0,1
1588772215,1,0
1588774369,4,1
1588776261,0,1
1588778176,1,0
1588780104,0,26
1588782026,1,1
1588783937,1,9
1588787776,0,1
1588792607,0,1
1588794528,0,2
1588796416,1,0
1588800295,0,2
1588802270,1,0
1588804455,1,2
1588806303,2,0
1588808206,2,0
1588810130,1,4
1588812028,4,2
1588813952,0,2
1588815862,3,3
1588818027,3,2
1588819949,1,0
1588821874,3,1
1588823783,1,0
1588825701,2,1
1588827915,2,3
1588829797,1,2
1588831716,1,0
1588833637,0,1
1588835555,0,1
1588837463,1,4
1588839379,1,0
1588841324,3,0
1588843237,0,1
1588845143,2,2
1588847078,1,2
1588848986,1,1
1588853123,0,1
1588855019,2,0
1588856910,3,1
1588858830,0,2
1588860784,1,3
1588862666,0,2
1588864583,0,1
1588866514,1,0
1588868433,0,1
1588872308,0,2
1588878337,3,1
1588880215,0,1
1588882147,2,0
1588885954,1,0
1588887894,1,2
1588889778,0,1
1588891720,1,0
1588893631,2,2
1588895556,3,0
1588897484,3,1
1588899390,4,2
1588901309,2,1
1588903430,4,3
1588905377,6,1
1588907324,0,1
1588909226,3,3
1588911144,0,5
1588913082,0,3
1588915015,1,1
1588916899,0,1
1588918876,2,0
1588922680,717,1
1588924596,1,0
1588926531,2,1
1588928661,0,1
1588930592,1,0
1588932508,1,1
1588934442,1,0
1588936349,0,1
1588940184,0,3
1588942352,0,2
1588944285,0,2
1588946189,0,1
1588948098,1,0
1588952175,0,1
1588954103,1,0
1588957934,1,0
1588959866,1,0
1588962016,2,0
1588963935,2,0
1588965866,1,0
1588967771,1,0
1588969696,2,0
1588972809,4,1
1588974749,2,2
1588976662,3,2
1588978568,1,0
1588980515,1,1
1588983611,3,1
1588985535,0,3
1588987460,1,1
1588989373,2,2
1588991563,0,4
1588993708,1,1
1588995624,0,1
1588999464,1,0
1589001641,1,0
1589005469,1,0
1589009354,2,727
1589013426,1,2
1589015298,0,1
1589017225,1,1
1589019174,1,2
1589021062,1,0
1589023217,4,0
1589025136,2,1
1589027075,0,1
1589028973,1,1
1589030901,2,0
1589032974,0,1
1589035080,1,0
1589036895,0,1
1589038810,1,0
1589040741,0,1
1589042598,2,1
1589044612,0,1
1589046498,0,2
1589048416,25,0
1589050350,1,2
1589052284,0,1
1589054185,3,2
1589056091,2,1
1589059224,2,7
1589061131,4,2
1589063063,2,2
1589064983,3,2
1589069003,5,2
1589070981,1,1
1589074810,1,0
1589076759,2,3
1589078789,1,1
1589080847,1,0
1589084661,0,4
1589086583,1,0
1589090557,0,1
1589092415,0,1
1589096296,0,2
1589098177,2,0
1589102093,2,0
1589106026,1,0
1589108039,1,3
1589109883,1,0
1589111790,0,1
1589115664,0,1
1589117538,2,1
1589119475,1,1
1589121390,0,1
1589123309,1,0
1589125154,0,1
1589127152,0,3
1589129105,1,1
1589130976,0,1
1589135056,1,0
1589136973,0,27
1589138907,0,1
1589141026,1,3
1589142978,3,3
1589144904,1,1
1589146861,2,2
1589148759,1,5
1589150660,2,3
1589152575,1,2
1589154510,1,2
1589156434,0,3
1589158341,1,0
1589160270,2,1
1589162175,2,1
1589166201,2,1
1589168191,1,1
1589172258,1,0
1589174208,0,1
1589176107,3,0
1589178023,1,0
1589179936,2,0
1589183775,1,0
1589185696,1,1
1589187897,0,1
1589189815,0,3
1589191955,2,3
1589195791,1,3
1589199633,3,1
1589201542,1,1
1589203461,1,1
1589205399,3,0
1589207322,3,1
1589209438,1,1
1589211387,1,1
1589213314,5,1
1589215232,0,2
1589220981,1,1
1589226995,0,1
1589228905,0,3
1589231095,3,2
1589232980,5,1
1589234910,3,3
1589236848,2,0
1589238735,2,2
1589240673,4,0
1589242579,1,2
1589244522,1,1
1589246429,1,0
1589248338,1,4
1589250320,5,1
1589252196,2,4
1589254108,0,2
1589256353,2,1
1589258194,2,1
1589260114,1,0
1589262036,0,1
1589263947,1,2
1589265910,2,1
1589267780,0,1
1589269713,0,1
1589271673,2,0
1589275468,1,1
1589277391,0,1
1589279310,0,1
1589281481,1,1
1589283383,1,2
1589285314,3,2
1589287219,1,2
1589289163,0,1
1589291071,2,3
1589292982,3,2
1589294962,2,1
1589296835,0,1
1589298742,0,3
1589300661,0,1
1589302597,0,1
1589304536,2,1
1589306688,1,0
1589308615,1,1
1589310522,1,2
1589312458,2,1
1589318214,1,4
1589320458,3,2
1589322667,3,3
1589324638,1,3
1589326491,4,0
1589328298,3,1
1589330290,2,1
1589332111,2,1
1589334018,2,2
1589335937,2,3
1589337876,2,1
1589341707,1,1
1589343637,0,3
1589345545,3,4
1589349389,0,1
1589355431,1,0
1589357333,1,1
1589359229,0,1
1589361157,1,1
1589365002,1,0
1589366927,1,0
1589368832,2,2
1589370745,0,2
1589374581,4,1
1589376582,1,0
1589378744,0,4
1589380601,1,2
1589382531,1,1
1589384446,1,0
1589390217,1,0
1589392346,0,5
1589394266,0,2
1589396198,2,1
1589398176,0,2
1589400357,0,1
1589402251,1,1
1589404223,0,1
1589406267,0,1
1589408180,2,2
1589410094,1,1
1589412027,1,1
1589413943,1,6
1589415858,5,1
1589417790,7,1
1589419696,4,0
1589423781,0,2
1589425728,2,1
1589429563,2,1
1589431488,1,1
1589435299,1,0
1589439141,0,1
1589441058,1,0
1589442998,1,0
1589444896,1,0
1589447016,1,0
1589448978,1,1
1589450922,0,1
1589454989,1,1
1589459091,0,1
1589461027,1,2
1589462910,2,1
1589464974,0,2
1589466975,2,0
1589469194,1,1
1589471055,0,2
1589472997,1,1
1589476839,0,3
1589478832,2,2
1589480664,1,0
1589482572,1,2
1589484736,2,1
1589486616,1,3
1589488584,0,2
1589490528,4,0
1589492473,3,0
1589494375,3,1
1589498427,3,0
1589500340,3,1
1589502263,3,1
1589504184,1,4
1589506111,1,2
1589508225,3,0
1589510179,0,3
1589512109,1,4
1589514015,2,0
1589515957,1,2
1589517870,0,1
1589519796,0,1
1589523660,1,1
1589525537,0,1
1589527473,0,1
1589529416,1,1
1589531298,0,1
1589533411,1,2
1589535387,0,1
1589539223,3,1
1589541413,1,0
1589543310,1,1
1589545275,0,1
1589547142,0,1
1589549084,1,1
1589551464,3,1
1589553382,2,1
1589555210,0,1
1589557225,3,2
1589559161,1,0
1589561112,2,1
1589562991,1,0
1589564923,1,2
1589568739,2,1
1589570667,0,1
1589572589,2,0
1589576564,3,2
1589578381,1,1
1589580280,0,4
1589582179,3,0
1589584131,3,2
1589586027,3,1
1589587945,3,4
1589589879,1,1
1589591777,2,2
1589593707,0,5
1589595644,0,4
1589599457,3,2
1589601393,0,2
1589609535,0,2
1589615294,0,1
1589617254,0,2
1589619139,2,0
1589621083,1,1
1589622987,3,0
1589625057,0,2
1589627000,1,1
1589628989,1,3
1589631157,1,1
1589633060,1,0
1589635047,2,0
1589636951,0,3
1589638818,0,1
1589641003,2,1
1589643151,0,5
1589645108,1,2
1589646994,2,3
1589648934,0,2
1589650821,0,1
1589654727,2,2
1589661161,3,0
1589663213,1,3
1589665098,1,2
1589667118,1,0
1589669425,5,0
1589671375,3,5
1589673319,1,2
1589675384,2,1
1589677525,2,0
1589679681,3,0
1589681550,0,1
1589685395,1,0
1589687315,1,4
1589689289,0,1
1589694988,0,1
1589699132,1,0
1589702938,2,0
1589704831,0,1
1589706759,0,1
1589708684,0,2
1589712760,0,2
1589714672,1,0
1589716597,0,2
1589718576,0,1
1589720755,1,1
1589722585,0,2
1589726484,0,2
1589732194,0,1
1589736295,1,1
1589738185,1,0
1589742297,1,5
1589744513,1,0
1589746348,3,1
1589748269,1,0
1589750222,0,1
1589752099,1,0
1589754026,4,1
1589755942,1,1
1589757865,1,1
1589759784,2,3
1589761699,2,3
1589763787,1,1
1589765776,1,2
1589767964,2,1
1589769860,0,2
