DateTime,AddedIPs,RemovedIPs
1588390460,0,1
1588394062,0,2
1588397659,1,2
1588399942,1,1
1588404857,3,1
1588409423,0,1
1588412060,1,1
1588413657,1,0
1588415663,0,3
1588419260,0,1
1588420939,1,0
1588425475,1,0
1588427808,0,1
1588432697,0,1
1588433661,0,3
1588436055,1,0
1588443193,1,1
1588446288,0,1
1588448060,0,1
1588454298,2,1
1588458860,0,1
1588461624,1,0
1588464956,2,0
1588469661,1,0
1588472208,1,0
1588473995,1,0
1588476324,0,1
1588486066,1,1
1588488909,1,0
1588494858,0,2
1588497920,1,0
1588510893,1,0
1588512318,1,0
1588513819,2,2
1588520063,0,4
1588523662,0,1
1588525254,0,1
1588526420,1,0
1588527260,0,1
1588529929,1,0
1588531621,1,2
1588537200,0,1
1588541659,1,0
1588544270,0,1
1588545861,0,1
1588549821,0,1
1588551401,1,0
1588552461,0,1
1588555519,1,0
1588557022,0,1
1588567494,1,1
1588570458,0,1
1588573308,1,0
1588575022,1,3
1588581260,1,1
1588584311,2,0
1588592059,0,1
1588593571,2,0
1588595664,1,0
1588605114,3,2
1588606460,1,0
1588612847,2,1
1588613660,2,0
1588616537,1,0
1588617874,1,0
1588620321,1,0
1588624463,0,2
1588625786,2,0
1588627517,2,0
1588630523,2,0
1588635259,4,3
1588637385,0,1
1588642471,3,0
1588644151,1,2
1588645399,1,0
1588652389,3,0
1588656321,0,1
1588660461,1,0
1588662970,2,0
1588667659,0,1
1588671262,2,0
1588672856,1,0
1588677399,1,0
1588680583,1,1
1588682062,1,2
1588685662,0,1
1588691788,1,0
1588692859,0,1
1588694781,2,0
1588696462,0,1
1588700058,0,1
1588703121,0,1
1588706718,1,0
1588709973,0,1
1588710863,2,0
1588718058,1,0
1588719683,1,0
1588721660,0,1
1588723150,0,1
1588733423,1,1
1588734848,1,0
1588742218,1,0
1588744544,0,1
1588749462,2,0
1588751423,1,0
1588754056,0,1
1588755656,3,0
1588764321,0,1
1588775657,0,1
1588779262,2,7
1588782857,0,4
1588786460,1,1
1588788731,1,2
1588790062,0,1
1588796722,0,2
1588797954,2,2
1588800865,1,2
1588802756,0,2
1588806743,0,1
1588808062,2,0
1588811660,0,3
1588812860,1,1
1588815260,0,1
1588822463,1,1
1588826732,1,0
1588828132,1,0
1588831334,0,1
1588834080,0,2
1588839298,1,2
1588840465,1,0
1588842625,3,1
1588847660,0,1
1588849477,0,1
1588851258,0,1
1588858460,0,1
1588859590,0,1
1588861521,2,0
1588864390,0,1
1588866621,0,6
1588867999,1,0
1588872319,2,0
1588873667,1,0
1588875740,1,0
1588877423,2,0
1588880057,0,1
1588886116,1,0
1588887259,1,1
1588889070,2,0
1588890860,1,0
1588896473,1,0
1588898053,1,0
1588904725,0,1
1588911921,1,0
1588918222,1,0
1588919656,0,1
1588921003,0,1
1588922721,1,0
1588926861,1,2
1588928275,1,0
1588929701,0,1
1588934251,1,0
1588935528,1,0
1588937122,2,0
1588942757,1,0
1588944180,1,0
1588948459,1,1
1588952061,0,2
1588954755,1,1
1588959260,0,1
1588966458,0,2
1588967814,0,1
1588969518,0,1
1588970057,0,1
1588974900,2,0
1588977260,0,2
1588979151,2,0
1588984458,6,1
1588985992,1,0
1588987519,2,0
1588989021,1,0
1588991662,2,2
1588994721,1,0
1589003116,1,0
1589005519,3,0
