DateTime,Entries,UniqueIPs
1589102088,1688,1688
1589103256,1668,1668
1589106168,1676,1676
1589106856,1670,1670
1589108837,1689,1689
1589110456,1701,1701
1589112436,1716,1716
1589114785,1751,1751
1589116523,1765,1765
1589117655,1771,1771
1589121256,1748,1748
1589125818,1834,1834
1589127793,1880,1880
1589128457,1876,1876
1589130054,1854,1854
1589131515,1885,1885
1589132752,1894,1894
1589135117,1923,1923
1589136620,1920,1920
1589138264,1942,1942
1589139257,1942,1942
1589140436,1966,1966
1589142329,1984,1984
1589143816,1966,1966
1589145499,1996,1996
1589146454,2008,2008
1589148947,2031,2031
1589150057,2024,2024
1589151306,2059,2059
1589152728,2057,2057
1589156719,2080,2080
1589157256,2078,2078
1589159645,2102,2102
1589160984,2107,2107
1589164458,2133,2133
1589166059,2149,2149
1589167171,2170,2170
1589168060,2164,2164
1589170060,2191,2191
1589171658,2209,2209
1589174222,2240,2240
1589177573,2293,2293
1589178859,2289,2289
1589181624,2344,2344
1589182458,2352,2352
1589184301,2378,2378
1589186060,2394,2394
1589187700,2415,2415
1589189688,2431,2431
1589190864,2450,2450
1589192718,2447,2447
1589196133,2452,2452
1589196857,2438,2438
1589198328,2438,2438
1589199533,2458,2458
1589200696,2457,2457
1589203103,2473,2473
1589204533,2439,2439
1589206098,2427,2427
1589208108,2412,2412
1589209933,2419,2419
1589211258,2414,2414
1589212472,2420,2420
1589214222,2413,2413
1589214857,2392,2392
1589215984,2401,2401
1589217916,2384,2384
1589218457,2353,2353
1589219763,2360,2360
1589221518,2345,2345
1589222057,2315,2315
1589223159,2315,2315
1589225117,2288,2288
1589226618,2257,2257
1589227745,2214,2214
1589229257,2146,2146
1589232857,2096,2096
1589234602,2102,2102
1589235918,2110,2110
1589237421,2108,2108
1589238733,2107,2107
1589240055,2106,2106
1589241856,2113,2113
1589243658,2091,2091
1589245348,2085,2085
1589247255,2092,2092
1589248676,2103,2103
1589249913,2109,2109
1589250859,2108,2108
1589251970,2107,2107
1589253919,2109,2109
1589254461,2073,2073
1589256327,2069,2069
1589258057,2063,2063
1589261657,2063,2063
1589263544,2070,2070
1589265259,2069,2069
1589267307,2079,2079
1589268515,2085,2085
1589270007,2081,2081
1589271277,2086,2086
1589272462,2075,2075
1589273984,2097,2097
1589275517,2109,2109
1589276057,2102,2102
1589277415,2117,2117
1589279112,2115,2115
1589279659,2107,2107
1589281357,2109,2109
1589283257,2097,2097
1589285849,2078,2078
1589286858,2114,2114
1589288750,2151,2151
1589290458,2120,2120
1589292754,2107,2107
1589294204,2067,2067
1589296853,2036,2036
1589298619,2004,2004
1589300720,1999,1999
1589302220,1964,1964
1589304094,1952,1952
1589304856,1911,1911
1589308457,1867,1867
1589311099,1836,1836
1589312303,1798,1798
1589314248,1772,1772
1589315652,1734,1734
1589318206,1721,1721
1589319258,1700,1700
1589320670,1681,1681
1589322859,1649,1649
1589325019,1644,1644
1589326458,1608,1608
1589328982,1609,1609
1589333119,1587,1587
1589333657,1557,1557
1589334767,1563,1563
1589336723,1547,1547
1589337256,1506,1506
1589338583,1497,1497
1589339816,1481,1481
1589341459,1443,1443
1589342581,1427,1427
