DateTime,AddedIPs,RemovedIPs
1589091911,50,20
1589092450,17,28
1589093798,36,19
1589095510,58,26
1589096051,14,32
1589099650,116,64
1589102084,78,34
1589103252,37,25
1589106164,77,45
1589106852,27,34
1589108833,51,28
1589110451,48,25
1589112427,66,33
1589114781,74,47
1589116519,41,27
1589117651,30,22
1589121251,75,68
1589123752,55,32
1589125813,358,28
1589127786,256,22
1589128452,43,19
1589130046,77,28
1589131511,63,3
1589132748,55,29
1589135111,173,41
1589136615,179,39
1589138259,162,17
1589139252,63,24
1589140432,60,21
1589142323,74,53
1589143811,65,74
1589145495,82,32
1589146450,50,45
1589148940,104,58
1589150052,43,50
1589151301,41,17
1589152724,47,34
1589156713,347,117
1589157252,28,64
1589159638,122,63
1589160980,81,69
1589164454,148,125
1589166049,75,65
1589167168,89,11
1589168055,36,54
1589170056,101,57
1589171651,71,58
1589174217,114,67
1589177566,153,140
1589178854,51,69
1589181619,137,62
1589182451,33,64
1589184297,93,62
1589186052,97,52
1589187694,76,64
1589189683,100,56
1589190860,48,29
1589192713,82,45
1589193252,16,47
1589196125,90,82
1589196852,35,55
1589198324,40,54
1589199529,53,8
1589200688,29,45
1589204526,136,138
1589206093,74,40
1589208100,63,58
1589209925,61,34
1589211250,40,37
1589212467,44,18
1589214215,47,54
1589214853,21,40
1589215980,28,30
1589217911,47,52
1589218452,16,37
1589219758,35,30
1589221513,54,63
1589222050,15,49
1589223155,27,22
1589225111,64,42
1589226613,32,47
1589227738,28,33
1589229251,38,47
1589232853,80,116
1589234597,42,65
1589235912,36,15
1589237410,52,65
1589238725,36,42
1589240052,43,84
1589241852,50,91
1589243653,58,50
1589245343,64,66
1589247250,67,69
1589248672,58,33
1589249908,64,32
1589250853,43,57
1589251967,54,30
1589253913,103,43
1589254453,37,61
1589256321,108,54
1589258053,80,57
1589261651,157,121
1589263537,89,80
1589265252,113,79
1589267302,110,81
1589268510,70,12
1589270002,69,77
1589271273,74,58
1589272453,54,64
1589273980,74,72
1589275512,97,14
1589276052,29,57
1589277410,76,40
1589279104,74,48
1589279653,27,59
1589281353,63,101
1589283252,73,86
1589285846,106,71
1589286852,45,66
1589288746,136,66
1589290452,72,42
1589292750,107,73
1589294199,67,60
1589296847,88,117
1589298612,73,85
1589300715,130,47
1589302213,53,67
1589304091,79,42
1589304851,21,82
1589308452,105,154
1589311096,79,280
1589312298,58,102
1589314243,109,62
1589318202,180,139
1589319253,64,39
1589320667,68,36
1589322851,107,75
1589325013,74,273
1589326453,44,64
1589328963,101,95
1589331014,83,133
1589333651,111,152
1589334763,54,29
1589336718,113,83
1589337251,28,100
1589338579,79,45
1589339811,93,60
1589341452,87,129
1589342574,60,73
1589344452,108,83
1589345776,87,37
1589349012,155,195
1589351115,147,76
1589351660,38,71
1589355252,192,207
1589356482,73,57
1589357662,66,74
1589358853,57,104
1589360221,93,49
1589361914,120,73
1589364397,119,563
1589366056,166,78
1589368460,138,78
1589369963,87,73
1589371595,81,69
1589372714,91,30
1589373939,69,111
1589376852,127,128
1589378456,78,79
1589380451,89,61
1589382087,68,63
1589384051,81,74
1589385217,55,27
1589387111,80,56
1589388512,51,53
1589389886,54,46
1589391251,40,58
1589392985,71,66
1589394852,62,61
1589398452,133,110
1589403855,150,143
1589405657,54,57
1589407600,81,60
1589409251,64,57
1589412195,101,70
1589412853,28,62
1589415257,72,86
1589416450,48,77
1589420052,131,190
1589423659,231,191
1589425188,78,106
1589426715,85,26
1589427254,18,78
1589428560,78,48
1589430856,100,134
1589432826,105,93
1589434458,79,107
1589436142,86,105
1589438055,100,99
1589439306,65,42
1589441654,130,131
1589443477,103,104
1589445259,107,118
1589447549,128,109
1589448853,73,72
1589450071,62,44
1589451331,51,51
1589452456,44,66
1589453861,66,34
1589455104,56,47
1589456429,47,81
1589458862,97,93
1589459661,30,68
1589460844,30,24
1589462241,48,50
1589465294,134,159
1589468116,121,81
1589469352,51,40
1589471613,80,72
1589472856,56,43
1589474055,47,54
1589475412,51,29
1589476644,49,39
1589477654,27,39
1589479160,53,52
1589480391,45,11
1589481261,32,49
1589482913,48,76
1589484853,54,52
1589487331,80,77
1589489284,59,79
1589490514,38,33
1589492053,56,137
1589493251,29,23
1589495656,81,88
1589496759,35,22
1589497989,32,37
1589499254,43,49
1589500454,37,35
1589501681,39,46
1589502848,33,76
1589504199,37,43
1589505431,61,76
1589506560,55,100
1589507944,63,101
1589509177,57,20
1589510427,75,110
1589511828,63,71
1589513656,97,92
1589515486,86,127
1589516724,48,13
1589518015,61,104
1589519300,51,72
1589520619,59,96
1589521818,58,51
1589523118,52,65
1589524456,55,98
1589525725,60,39
1589527239,73,91
1589528057,33,91
1589529483,75,35
1589531154,71,65
1589531654,23,72
1589532976,59,42
1589534718,77,81
1589536007,53,87
1589537235,57,47
1589538511,47,7
1589539830,34,83
1589541100,69,53
1589542454,89,76
1589543591,53,29
1589544844,80,37
1589545980,57,59
1589547304,41,33
1589548716,59,43
1589549655,32,63
1589551029,53,30
1589552411,40,47
1589553764,41,87
1589555001,149,48
1589556852,193,74
1589558815,157,51
1589560045,170,8
1589560453,107,45
1589561675,239,23
1589563513,290,39
1589564053,100,51
1589565531,239,50
1589566688,175,12
1589568614,347,70
1589570229,250,23
1589571464,271,34
1589572721,229,49
1589573909,153,9
1589574855,175,49
1589576042,254,29
1589577576,90,47
1589578453,19,71
1589580366,60,58
1589582053,57,45
1589584172,50,60
1589585446,38,45
1589586671,43,25
1589587903,28,46
1589589140,38,56
1589590369,36,21
1589591604,39,76
1589592854,42,98
1589594128,42,40
1589595362,41,63
1589596452,49,82
1589597880,51,39
1589599109,61,61
1589600057,40,73
1589602860,116,98
1589603655,34,67
1589605385,89,86
1589607254,81,95
1589609164,81,75
1589610314,77,10
1589610855,20,97
1589612447,49,99
1589613900,53,11
1589614454,23,98
1589615694,47,34
1589617091,46,76
1589618053,48,90
1589619056,46,31
1589620577,59,72
1589621862,48,77
1589624379,149,76
1589625256,37,62
1589626922,50,74
1589628853,51,65
1589630692,63,66
1589631917,39,7
1589633033,42,86
1589634430,45,53
1589636051,68,62
1589637661,51,93
1589639656,44,49
1589641079,37,16
1589642716,45,29
1589643253,9,53
1589644577,38,18
1589645810,31,27
1589646853,18,36
1589648334,43,42
1589649566,24,11
1589650823,35,51
1589653259,59,48
1589654053,34,34
1589657019,65,57
1589657651,18,44
1589659543,93,52
1589660716,29,8
1589661256,16,46
1589663398,144,40
1589664635,26,57
1589665815,27,19
1589667153,23,27
1589668384,24,43
1589669616,22,19
1589670849,16,36
1589672051,28,45
1589673363,30,23
1589674644,40,41
1589675877,31,69
1589677132,60,74
1589678355,28,8
1589679256,27,75
1589681169,119,84
1589682858,48,72
1589684540,111,80
1589685753,35,4
1589686985,33,89
1589688218,35,55
1589690055,46,80
1589693654,100,134
1589695594,46,83
1589697253,44,76
1589699941,73,86
1589700854,37,67
1589702042,31,26
1589703903,51,50
1589705386,39,83
1589706641,23,64
1589708053,65,76
1589709177,46,23
1589710555,31,44
1589711652,75,58
1589712791,43,26
1589714019,41,44
1589715257,56,47
1589716489,32,12
1589717724,26,25
1589718853,31,53
1589720226,31,16
1589721458,24,34
1589722692,21,36
1589723925,19,56
1589725156,25,3
1589726051,15,64
1589727900,30,250
1589729113,19,1
1589730300,68,300
1589731783,221,247
1589735031,200,567
1589736851,48,282
1589738030,49,98
1589739233,59,202
1589740455,68,274
1589742388,182,392
1589744053,117,262
1589746069,81,364
1589747653,53,42
1589750715,124,63
1589751253,14,49
1589753431,125,38
1589754855,66,42
1589757098,67,49
1589758259,25,29
1589759415,33,15
1589760798,47,40
1589762627,60,221
1589764175,71,164
1589765686,86,294
1589766918,64,119
1589768156,93,189
1589769395,63,294
1589770626,74,70
1589771819,80,237
1589773162,84,313
1589774387,79,309
1589776456,134,403
1589777645,63,43
1589779330,87,57
1589780570,76,107
1589781789,76,37
1589783660,104,59
1589785630,118,72
1589787270,91,62
1589788521,76,35
1589790316,113,62
1589790856,36,64
1589793253,149,141
1589794457,68,64
1589795092,27,19
1589796357,55,33
1589798056,71,54
1589799406,52,29
1589800638,48,53
1589801930,61,65
1589803647,67,92
1589805258,60,54
1589806520,42,29
1589808206,70,47
1589808855,25,37
1589810274,57,27
1589811701,62,44
1589812977,51,71
1589815065,70,34
1589816054,96,41
1589818615,94,41
1589821253,103,67
1589822716,38,0
1589823252,17,46
1589825279,50,53
1589826854,42,33
1589828348,54,63
1589829919,49,24
1589830453,19,38
1589831578,28,20
1589832688,35,107
1589834054,34,65
1589837114,90,60
1589838617,35,54
1589841253,95,55
1589842684,38,23
1589844315,36,42
1589844855,14,38
1589846515,23,62
1589848457,63,59
1589851515,87,137
1589853016,56,70
1589854325,41,101
1589855655,30,47
1589859255,85,95
1589860968,39,42
1589862853,46,43
1589865766,66,63
1589866461,14,53
1589867671,32,22
1589869520,44,37
1589873655,87,169
1589875500,32,46
1589877255,45,52
1589879947,101,115
1589882242,106,167
