DateTime,AddedIPs,RemovedIPs
1588296864,0,1
1588303068,2,0
1588305023,2,0
1588307630,1,0
1588309430,0,1
1588313200,1,1
1588318465,1,1
1588320058,1,1
1588324044,0,1
1588325663,2,0
1588328200,0,1
1588333149,0,1
1588338054,1,0
1588339313,1,0
1588340560,1,1
1588343662,1,0
1588345815,0,1
1588348979,0,1
1588352552,1,1
1588361120,0,1
1588365403,0,1
1588375482,2,0
1588376666,0,1
1588378247,1,0
1588380758,1,0
1588383264,1,0
1588386860,0,1
1588390462,1,1
1588394064,1,1
1588397660,1,1
1588404859,2,0
1588407178,1,2
1588415122,1,0
1588417256,0,1
1588420941,0,1
1588422860,1,0
1588425477,1,0
1588429403,0,1
1588430058,0,2
1588432699,0,1
1588436057,1,1
1588437526,0,1
1588440328,1,2
1588443195,1,0
1588444690,0,3
1588446290,2,2
1588448062,0,1
1588450493,0,1
1588451662,1,0
1588454301,0,1
1588455265,0,2
1588457726,0,1
1588458862,1,2
1588460356,0,2
1588461626,1,0
1588464958,2,1
1588466060,0,2
1588469663,1,0
1588472210,3,1
1588476326,2,0
1588477826,2,0
1588479443,1,1
1588481423,1,1
1588486067,1,1
1588487662,2,2
1588492218,0,1
1588496108,0,1
1588497923,5,1
1588501102,4,0
1588504359,1,4
1588505509,0,1
1588509259,0,1
1588510895,1,1
1588513821,1,0
1588518134,0,1
1588520065,1,1
1588521289,3,1
1588522748,3,0
1588523664,2,0
1588525257,3,0
1588526422,3,0
1588529932,1,1
1588531622,2,0
1588532748,4,2
1588534461,2,0
1588537202,0,1
1588538550,1,2
1588541661,1,0
1588544271,3,1
1588549823,1,0
1588552463,1,0
1588555521,0,1
1588557024,1,0
1588560765,0,2
1588562724,1,0
1588563265,2,0
1588565059,1,0
1588567497,1,1
1588570460,1,0
1588573313,1,0
1588580546,1,1
1588581262,0,2
1588582527,0,1
1588584313,4,1
1588584863,0,3
1588586564,1,0
1588592061,1,0
1588595007,1,0
1588600168,1,0
1588602734,1,0
1588607622,1,0
1588613662,1,0
1588616539,16,1
1588617876,0,1
1588620323,3,0
1588621524,1,0
1588623313,6,1
1588624464,2,1
1588625788,4,0
1588635261,0,1
1588638859,1,1
1588642473,1,1
1588644154,0,1
1588645401,1,0
1588647021,0,4
1588649668,3,0
1588652390,1,0
1588656861,0,1
1588660462,0,1
1588662974,1,0
1588664062,0,1
1588665298,1,0
1588667661,0,8
1588671264,0,3
1588674323,1,0
1588678608,1,0
1588685665,1,0
1588688723,1,0
1588692861,0,1
1588694783,1,0
1588699158,1,0
1588700060,1,1
1588703122,1,1
1588704626,0,1
1588709975,2,0
1588710864,0,1
1588718060,3,0
1588719686,0,1
1588721662,0,1
1588723153,0,1
1588725261,0,1
1588728866,0,2
1588736064,1,1
1588739665,0,2
1588742220,1,0
1588744545,0,1
1588751425,0,2
1588754057,0,1
1588755658,0,1
1588756971,1,0
1588764323,2,0
1588772066,1,1
1588775659,0,1
1588779264,4,1
1588780971,10,1
1588782860,0,1
1588786462,1,2
1588788734,0,2
1588793662,2,0
1588796724,1,0
1588800867,1,0
1588802758,1,0
1588806745,1,0
1588808063,0,1
1588811661,1,0
1588815262,1,0
1588818864,0,3
1588822465,3,1
1588831337,0,1
1588834081,1,1
1588835870,0,1
1588839299,1,0
1588840467,1,1
1588844062,0,1
1588847661,3,0
1588849479,1,0
1588851260,1,0
1588864391,0,1
1588872320,1,0
1588883660,0,1
1588884771,0,9
1588886118,0,7
1588887261,0,1
1588889071,0,5
1588890862,0,8
1588892508,2,10
1588894457,0,9
1588896474,0,1
1588900631,1,0
1588902623,0,2
1588904726,1,2
1588906224,0,1
1588908861,1,1
1588913422,0,2
1588915040,1,1
1588918223,1,0
1588921004,0,1
1588924929,0,1
1588928276,0,1
1588932623,1,0
1588934252,4,0
1588942758,0,1
1588948460,0,1
1588952062,0,1
1588954756,0,2
1588957370,1,11
1588961991,1,0
1588962859,1,1
1588964608,0,1
1588966459,2,0
1588971875,1,1
1588977261,0,1
1588979152,0,2
1588980859,2,0
1588984459,0,2
1588987520,1,0
1588991664,0,2
1588993260,1,0
1588998860,0,2
1589003119,1,0
1589013479,0,1
1589015099,0,1
1589016858,0,1
1589019391,1,0
1589020460,1,1
1589027659,0,1
1589029729,0,2
1589033379,1,0
1589036958,0,1
1589038458,0,1
1589043022,1,0
1589044182,0,1
1589046915,1,1
1589051420,0,1
1589060062,5,1
1589062557,10,0
1589064621,6,1
1589065899,4,1
1589067259,10,0
1589069757,14,0
1589070861,6,0
1589073148,6,0
1589078058,0,1
