DateTime,AddedIPs,RemovedIPs
1588844178,20,13
1588846093,20,23
1588848014,31,18
1588849942,29,14
1588851848,26,18
1588853775,35,23
1588857607,17,44
1588859528,16,22
1588861456,15,17
1588863366,30,19
1588865286,11,22
1588869133,36,36
1588871299,32,24
1588873214,34,37
1588875137,28,38
1588877046,17,38
1588878967,25,27
1588880894,23,19
1588884726,33,24
1588886655,16,19
1588888563,29,15
1588890735,47,22
1588892651,20,31
1588894580,16,19
1588896500,18,21
1588898414,26,18
1588902248,31,28
1588904165,32,20
1588906089,32,17
1588908017,36,10
1588911851,15,34
1588913773,17,18
1588915684,21,22
1588917622,16,7
1588920485,23,12
1588922416,16,16
1588924377,37,10
1588926247,10,18
1588928165,28,0
1588930083,17,13
1588932004,27,7
1588933939,22,16
1588935859,33,25
1588937765,32,25
1588939707,22,18
1588941607,31,16
1588943530,24,19
1588945456,15,12
1588947368,34,14
1588949532,27,15
1588951451,19,0
1588953373,26,0
1588955285,19,23
1588957207,32,20
1588959140,25,15
1588961055,21,19
1588962980,23,20
1588964900,30,20
1588966809,21,16
1588970650,31,29
1588972565,29,23
1588974494,34,20
1588976405,27,17
1588978328,28,12
1588980255,22,25
1588982163,39,22
1588984084,20,19
1588986021,42,7
1588987935,40,11
1588989850,49,0
1588991776,33,21
1588993701,34,27
1588995606,18,17
1588997544,19,19
1588999455,22,25
1589001613,19,33
1589003528,31,19
1589005456,16,21
1589007369,27,16
1589009331,12,23
1589011222,27,21
1589013131,21,17
1589015051,19,0
1589016983,30,28
1589018902,21,0
1589026582,25,107
1589028495,30,19
1589030406,15,17
1589032330,26,29
1589034258,11,19
1589036166,11,23
1589038137,23,15
1589040026,24,17
1589041933,18,21
1589044101,20,24
1589047933,22,50
1589049854,23,21
1589051770,24,29
1589053695,17,20
1589055615,24,25
1589057526,29,20
1589059451,27,32
1589061378,17,0
1589063287,24,25
1589065209,23,0
1589067142,19,23
1589069312,17,26
1589071206,21,17
1589073128,22,15
1589075063,23,17
1589076968,10,14
1589078884,13,13
1589080814,19,23
1589082734,30,0
1589084649,18,19
1589086576,16,28
1589088486,22,23
1589090404,19,15
1589093297,20,33
1589095225,25,12
1589097127,26,14
1589099048,13,11
1589100984,28,18
1589103157,14,21
1589105051,27,10
1589106977,12,18
1589108904,20,21
1589110821,13,0
1589112742,16,34
1589114671,8,36
1589116569,25,0
1589118497,17,0
1589120407,2,4
1589124250,15,11
1589126173,13,13
1589128084,16,0
1589130029,22,14
1589131936,29,0
1589134102,20,24
1589136024,23,24
1589137934,21,17
1589139851,10,14
1589141771,24,12
1589143686,19,9
1589145618,12,13
1589147530,14,9
1589149457,11,0
1589151366,21,13
1589153289,18,12
1589155219,25,20
1589157132,31,16
1589159296,29,19
1589161455,25,0
1589163370,31,36
1589167207,20,18
1589169127,18,31
1589171058,26,18
1589172965,18,31
1589174885,21,9
1589176827,22,12
1589179693,24,9
1589181608,25,19
1589183527,24,21
1589185452,11,15
1589187363,18,20
1589189293,25,12
1589191207,29,22
