DateTime,AddedIPs,RemovedIPs
1588844178,39,54
1588846093,52,38
1588848014,63,53
1588849942,62,62
1588851848,58,63
1588853775,66,58
1588857607,54,65
1588859528,49,49
1588861456,53,51
1588863366,72,58
1588865286,43,72
1588869133,59,42
1588871299,64,60
1588873214,61,60
1588875137,59,61
1588877046,56,62
1588878967,69,56
1588880894,67,68
1588884726,75,68
1588886655,57,75
1588888563,64,55
1588890735,72,66
1588892651,54,69
1588894580,46,55
1588896500,50,43
1588898414,61,51
1588902248,75,68
1588904165,68,71
1588906089,70,69
1588908017,68,68
1588911851,62,65
1588913773,55,62
1588915684,63,56
1588917622,58,64
1588920485,71,59
1588922416,56,75
1588924377,61,55
1588926247,31,62
1588928165,70,32
1588930083,61,66
1588932004,56,59
1588933939,68,59
1588935859,62,66
1588937765,62,62
1588939707,62,64
1588941607,63,60
1588943530,55,61
1588945456,65,61
1588947368,54,61
1588949532,63,57
1588951451,62,62
1588953373,63,61
1588955285,51,61
1588957207,64,52
1588959140,54,66
1588961055,63,55
1588962980,56,60
1588964900,58,57
1588966809,57,56
1588970650,74,62
1588972565,64,73
1588974494,72,64
1588976405,63,71
1588978328,65,64
1588980255,64,66
1588982163,75,61
1588984084,65,74
1588986021,70,65
1588987935,67,71
1588989850,68,69
1588991776,64,67
1588993701,80,66
1588995606,57,76
1588997544,57,55
1588999455,63,59
1589001613,48,63
1589003528,65,48
1589005456,56,67
1589007369,55,50
1589009331,52,61
1589011222,68,51
1589013131,55,69
1589015051,59,55
1589016983,71,57
1589018902,68,75
1589026582,68,68
1589028495,65,68
1589030406,62,65
1589032330,59,61
1589034258,26,59
1589036166,40,28
1589038137,68,37
1589040026,63,65
1589041933,52,62
1589044101,64,53
1589047933,62,65
1589049854,62,62
1589051770,59,63
1589053695,58,61
1589055615,66,58
1589057526,67,63
1589059451,69,70
1589061378,63,69
1589063287,68,60
1589065209,72,68
1589067142,63,76
1589069312,73,61
1589071206,68,72
1589073128,63,66
1589075063,60,64
1589076968,50,59
1589078884,61,54
1589080814,63,59
1589082734,71,61
1589084649,56,71
1589086576,71,56
1589088486,53,70
1589090404,73,56
1589093297,68,75
1589095225,67,65
1589097127,64,66
1589099048,59,69
1589100984,61,58
1589103157,58,55
1589105051,61,57
1589106977,54,64
1589108904,67,55
1589110821,55,67
1589112742,61,54
1589114671,46,60
1589116569,70,53
1589118497,62,68
1589120407,30,62
1589124250,67,30
1589126173,50,63
1589128084,60,51
1589130029,51,60
1589131936,58,49
1589134102,60,63
1589136024,62,57
1589137934,63,65
1589139851,59,63
1589141771,61,57
1589143686,56,59
1589145618,60,51
1589147530,68,63
1589149457,50,68
1589151366,60,55
1589153289,57,59
1589155219,65,59
1589157132,64,63
1589159296,73,65
1589161455,66,73
1589163370,64,64
1589167207,52,64
1589169127,47,50
1589171058,65,50
1589172965,41,62
1589174885,56,39
1589176827,56,61
1589179693,64,57
1589181608,63,62
1589183527,63,64
1589185452,38,63
1589187363,64,40
1589189293,55,59
1589191207,65,58
1589193137,57,63
1589197211,48,60
1589199383,55,46
1589201284,54,51
1589203214,56,63
1589205123,67,52
1589207055,33,69
1589208966,68,31
1589210884,41,69
1589212819,69,42
1589214737,58,68
1589216908,83,60
1589218806,68,81
1589220728,72,71
1589222662,54,69
1589224567,69,54
1589226485,68,66
1589228416,69,74
1589232247,62,67
1589234174,63,60
1589236086,75,64
1589238013,79,76
1589239944,62,79
1589241857,65,61
1589243775,76,63
1589245704,79,80
1589247607,60,77
1589249775,71,62
1589253606,66,69
1589255526,67,67
1589257460,48,63
1589259367,61,50
1589261286,64,62
1589263219,65,63
1589266105,69,67
1589268011,55,69
1589269927,59,56
1589271857,31,58
1589273767,64,31
1589275695,61,61
1589277617,67,63
1589279556,59,64
1589281716,68,62
1589283607,66,69
1589285532,64,66
1589287463,42,62
1589289369,53,46
1589291287,49,50
1589293217,46,48
1589295128,50,46
1589297050,62,50
1589298977,63,63
1589300887,52,65
1589302822,63,51
1589304743,62,62
1589306907,63,63
1589308812,66,63
1589310733,73,66
1589312657,65,73
1589316731,76,66
1589318653,62,73
1589320832,74,65
1589322991,73,73
1589324909,72,73
1589326826,70,73
1589328742,57,71
1589330663,65,54
1589332571,63,67
1589334488,66,62
1589336417,65,61
1589338332,61,66
1589340248,62,63
1589342182,71,63
1589344087,65,70
1589346025,66,63
1589347949,67,67
1589349860,73,65
1589351780,59,73
1589353701,63,62
1589355625,46,62
1589357534,35,49
1589359483,38,34
1589361624,52,39
1589363530,66,50
1589367377,54,66
1589369292,63,51
1589371223,56,64
1589373184,65,56
1589375054,55,66
1589376985,63,58
1589379155,64,64
1589381050,46,61
1589382973,54,44
1589384888,64,55
1589386822,59,65
1589388732,66,59
1589390652,60,66
1589392586,57,60
1589394489,57,60
1589398343,71,56
1589400510,67,69
1589402409,52,67
1589404577,60,54
1589406486,60,57
1589408420,70,61
1589410330,68,72
1589412255,64,66
1589414177,63,63
1589416094,57,65
1589418012,34,57
1589419944,55,30
1589422122,57,59
1589424023,57,52
1589426173,40,63
1589428088,65,39
1589430019,64,62
1589431936,61,63
1589433850,53,64
1589435778,57,54
1589437686,59,57
1589439613,57,55
1589441544,52,59
1589445607,27,53
1589447528,57,29
1589449464,56,55
1589451370,48,55
1589453290,67,51
1589455216,69,62
1589457132,49,68
1589459062,40,55
1589460967,45,40
1589464813,42,46
1589466741,39,37
1589468657,48,40
1589470583,50,48
1589472500,59,51
1589474418,48,60
1589476577,45,47
1589478487,61,46
1589480414,56,59
1589482329,62,57
1589484256,51,64
1589486167,43,48
1589488088,45,44
1589491932,64,45
1589494358,46,59
1589496247,45,47
1589498412,58,49
1589500328,52,51
1589502248,56,55
1589504169,34,59
1589506095,63,36
1589508020,66,61
1589509947,55,63
1589511853,45,54
1589513773,54,48
1589515703,64,56
1589519532,51,65
1589521466,77,50
1589523368,62,71
1589525286,54,62
1589527218,29,63
1589529129,64,27
1589531051,45,61
1589533027,58,48
1589536840,68,61
1589538732,52,65
1589540905,58,51
1589542819,55,60
1589544741,53,53
1589546660,49,51
1589548576,60,50
1589550731,54,61
1589552648,54,57
1589554568,56,52
1589556803,62,56
1589558657,61,58
1589560579,59,63
1589562509,59,57
1589564410,71,62
1589566578,49,70
1589568487,61,53
1589570416,62,58
1589572333,60,64
1589574249,56,58
1589576176,65,58
1589578091,70,65
1589581945,73,72
1589584109,77,72
1589587936,62,76
1589589868,56,59
1589591768,61,57
1589593697,70,63
1589595632,62,67
1589597537,54,63
1589599448,57,53
1589601382,66,60
1589603287,47,67
1589605231,65,45
1589607197,63,62
1589609065,59,61
1589612913,59,61
1589614812,75,60
1589616980,52,77
1589618889,54,52
1589620820,51,57
1589622727,62,48
1589624655,61,62
1589626566,55,60
1589628739,52,51
1589630652,55,50
1589632588,48,62
1589634499,60,47
1589636422,65,59
1589640261,23,68
1589642172,40,21
1589644100,21,43
1589646012,56,22
1589647934,54,50
1589649857,55,55
1589651772,36,57
1589653993,56,35
1589655864,54,53
1589658154,56,55
1589662221,60,54
1589664262,58,62
1589666165,58,61
1589668095,55,56
1589670391,67,55
1589673268,51,67
1589675351,57,53
1589677216,52,58
1589679628,59,49
1589681526,62,59
1589683460,56,65
1589687291,62,55
1589691128,62,58
1589693056,64,64
1589694965,58,62
1589697249,62,60
1589699061,65,64
1589700973,69,65
1589702911,64,67
1589704806,45,66
1589706742,59,43
1589708662,54,58
1589710825,60,54
1589712729,67,65
1589714648,44,67
1589716575,63,40
1589718539,53,57
1589720414,66,60
1589722343,68,67
1589724253,68,67
1589726175,11,71
1589728104,10,11
1589730012,60,11
1589731933,70,58
1589733855,59,71
1589735778,67,56
1589737696,56,69
1589739607,47,55
1589741541,70,46
1589743448,47,72
1589745681,59,47
1589747542,55,57
1589749460,60,57
1589751370,51,61
1589755209,71,50
1589757129,75,70
1589759061,65,74
1589762889,65,65
1589764815,72,67
1589766725,70,73
1589768655,65,68
1589770563,65,66
1589772485,63,66
1589774425,70,61
1589776335,69,73
1589778501,75,66
1589780408,56,71
1589782336,61,55
1589784251,46,66
