DateTime,AddedIPs,RemovedIPs
1589289020,8,0
1589292322,0,9
1589292619,2,0
1589293820,1,1
1589294120,50,2
1589294421,19,0
1589295919,0,5
1589296520,8,0
1589299525,0,2
1589299822,14,0
1589300420,0,1
1589302222,3,0
1589303121,0,1
1589303421,3,0
1589307022,4,0
1589307620,0,2
1589307921,30,0
1589308223,13,0
1589310620,6,0
1589313020,1,0
1589313623,1,0
1589314219,1,0
1589317819,12,0
1589321121,1,0
1589321419,3,0
1589324721,1,1
1589325019,5,0
1589325619,2,0
1589326818,1,0
1589327120,2,0
1589328619,5,0
1589329220,133,0
1589329518,826,0
1589329820,494,0
1589330719,1,0
1589331920,0,1
1589332218,8,0
1589335522,0,1
1589335822,3,0
1589339120,1,1
1589339721,1,0
1589342718,0,1
1589343318,5,0
1589343922,98,5
1589344221,7,0
1589346620,4,0
1589348722,1,0
1589353522,0,1
1589354120,2,0
1589357122,0,1
1589357418,2,0
1589360721,0,1
1589361019,6,0
1589364621,1,0
1589368219,331,1
1589371521,0,2
1589371819,100,0
1589375419,65,2
1589376023,35,0
1589376322,1,3
1589376627,0,2
1589376919,0,2
1589378721,0,2
1589379020,23,0
1589381720,0,3
1589382022,77,1
1589382320,3,4
1589382920,64,0
1589385923,0,2
1589386220,5,0
1589389521,0,2
1589389819,13,0
1589391621,0,1
1589393421,9,0
1589397022,31,0
1589398823,1,0
1589400319,2,0
1589400619,4,1
1589401521,4,0
1589402722,1,0
1589404219,10,0
1589406020,0,1
1589407821,5,0
1589408419,1,0
1589410218,1,0
1589410520,1,0
1589411418,8,0
1589415020,8,0
1589418618,12,0
1589418918,1,0
1589421621,0,1
1589422218,6,0
1589425518,0,1
1589426118,6,0
1589429117,1,0
1589429417,2,0
1589430320,0,3
1589430617,101,2
1589430917,1,0
1589432420,1,0
1589432719,1,1
1589433020,1,0
1589436320,1,2
1589436620,413,0
1589436918,57,0
1589439018,1,0
1589439622,1,0
1589439919,1,0
1589440518,103,0
1589441422,1,0
1589443520,0,3
1589444119,41,0
1589444721,1,0
1589445018,1,0
1589445620,1,0
1589447419,392,0
1589447719,64,0
1589448018,1,0
1589449519,1,0
1589451018,112,1
1589453717,1,0
1589454320,1,2
1589454923,40,0
1589455221,1,0
1589457021,0,2
1589457620,1,0
1589457921,0,2
1589458219,11,0
1589458519,1,0
1589460021,121,0
1589460323,1,0
1589461519,0,3
1589462119,17,0
1589463619,1,0
1589464224,0,4
1589464519,0,3
1589464823,0,3
1589465120,49,3
1589465720,17,0
