DateTime,AddedIPs,RemovedIPs
1589071206,30,23
1589073128,27,44
1589075063,25,43
1589075765,33,0
1589076002,205,0
1589076968,15,44
1589077694,33,0
1589078884,17,36
1589080814,17,32
1589082734,26,14
1589083201,234,0
1589084649,20,20
1589085368,15,30
1589086576,16,25
1589088486,20,15
1589090404,19,26
1589092810,1051,827
1589093297,19,17
1589095225,22,26
1589097127,26,15
1589099048,110,23
1589100984,24,24
1589102101,242,0
1589103157,16,12
1589105051,21,31
1589105701,99,0
1589106977,11,19
1589108904,14,0
1589110821,11,0
1589112742,17,0
1589112902,194,0
1589114671,9,20
1589116569,18,27
1589118497,15,12
1589120407,107,19
1589124250,17,16
1589126173,214,19
1589128084,14,16
1589130029,23,11
1589131936,121,18
1589134102,20,0
1589134502,182,0
1589136024,30,15
1589137934,22,17
1589139851,15,16
1589141771,19,13
1589142602,193,0
1589143686,19,20
1589145618,11,23
1589147530,15,20
1589149457,10,15
1589149801,173,0
1589151366,25,24
1589153289,18,18
1589154488,36,72
1589155219,22,16
1589157132,28,15
1589159296,172,3116
1589160965,38,36
1589161455,25,27
1589163370,36,30
1589165101,255,0
1589166005,32,66
1589167207,18,16
1589168701,135,0
1589169127,15,18
1589169850,14,0
1589171058,26,39
1589172965,20,0
1589174885,26,18
1589175901,237,0
1589176827,23,41
1589179693,28,0
1589181608,27,21
1589183530,804,935
1589185452,150,40
1589187363,22,0
1589189293,21,19
1589191207,188,17
1589193137,30,21
1589193902,333,0
1589197211,21,33
1589199383,20,26
1589201284,15,8
1589203214,156,17
1589205123,26,13
1589205602,314,0
1589207055,7,3
1589208966,26,0
1589209202,134,0
1589210884,14,16
1589212819,28,13
1589214737,159,13
1589216908,180,18
1589218806,51,26
1589220002,125,0
1589220728,34,17
1589222662,20,27
1589224567,24,19
1589226485,26,12
1589227201,609,0
1589228416,35,23
1589230802,96,0
1589232247,29,33
1589234174,48,12
1589236086,34,10
1589238013,47,25
1589238970,205,0
1589239944,30,19
1589241857,37,21
1589243775,43,26
1589245704,136,2484
1589247607,130,0
1589249775,86,130
1589250488,31,0
1589252401,255,0
1589253606,43,0
1589255526,32,15
1589257460,20,33
1589258166,17,32
1589259367,19,20
1589261286,155,0
1589263219,29,23
1589266105,128,45
1589268011,23,23
1589269927,290,0
1589271857,19,36
1589273767,37,23
1589275695,172,20
1589276421,864,626
1589277617,30,25
1589279556,39,28
1589281716,299,0
1589283607,38,0
1589285532,24,18
1589287463,125,16
1589289369,21,15
1589291287,358,20
1589293217,19,26
1589294701,122,0
1589295128,30,7
1589297050,23,21
1589298302,124,0
1589298977,39,15
1589300887,17,30
1589302822,33,38
1589304743,31,51
1589305502,286,0
1589306907,41,48
1589308812,33,31
1589310733,42,18
1589312657,27,26
1589312702,284,0
1589316731,42,60
1589318653,28,26
1589320832,269,45
1589322991,47,28
1589324909,40,46
1589326826,47,26
1589327292,40,82
1589328001,256,3553
1589328742,30,29
1589330663,40,47
1589331601,139,0
1589332571,24,59
1589334488,66,38
1589335202,121,0
1589336417,17,43
1589338332,23,0
1589338807,29,60
1589340248,141,40
1589342182,26,31
1589342887,162,0
1589344087,22,18
1589346025,23,13
1589347949,137,24
1589349860,35,30
1589351780,24,0
1589353701,309,25
1589355625,18,22
1589357534,13,30
1589359483,8,14
1589360402,301,0
1589361624,28,35
1589363530,37,26
1589367377,29,67
1589367862,925,861
1589369292,383,33
1589371223,15,41
1589373184,27,20
1589375054,20,12
1589375701,423,0
1589376985,27,19
1589379155,23,11
1589379302,163,0
1589381050,14,20
1589382973,27,28
1589384888,20,23
1589386822,310,36
1589388732,39,17
1589390652,18,34
1589392586,39,30
1589394489,152,35
1589397301,269,0
1589398343,33,67
1589400510,43,24
1589402409,12,0
1589404577,20,36
1589406486,189,28
1589408420,22,41
1589409002,236,0
1589410330,34,50
1589412255,68,40
1589414177,15,45
1589416094,15,25
1589418012,123,34
1589419944,18,17
1589422122,194,3032
1589423767,73,80
1589424023,17,22
1589426173,14,23
1589428088,194,24
1589430019,18,22
1589431448,22,42
1589431936,126,18
1589433850,140,24
1589435778,22,25
1589437686,21,27
1589439613,150,19
1589441544,20,18
1589442301,282,0
1589445607,4,26
1589447528,23,7
1589449464,25,20
1589451370,188,38
1589453290,24,0
1589454002,322,0
1589455216,22,24
1589457132,16,21
1589457602,166,0
1589459070,847,924
1589460967,15,22
1589461201,169,0
1589464813,6,46
1589466741,171,20
1589468657,177,11
1589470583,14,28
1589472500,187,20
1589474418,25,25
1589475601,136,0
1589476577,16,35
1589478487,27,19
1589480414,26,37
1589482329,31,16
1589482802,277,0
1589484256,13,0
1589486167,10,33
1589486401,119,0
1589488088,14,40
1589491932,22,34
1589494358,286,16
1589496247,17,20
1589498412,15,30
1589500328,12,22
1589501293,144,80
1589502248,141,3327
1589504169,8,12
1589506095,22,15
1589508020,28,19
1589508970,378,39
1589509947,18,16
1589511853,15,17
1589513773,24,15
1589515703,16,27
1589516102,263,0
1589516646,14,0
1589519532,18,39
1589521466,27,16
1589523368,26,19
1589525286,271,18
1589527218,7,32
1589529129,24,21
1589531051,141,0
1589533027,23,4
1589535001,312,0
1589536840,19,42
1589538732,134,13
1589540905,19,24
1589542819,27,20
1589544741,19,15
1589545802,284,0
1589546660,15,12
1589548576,16,16
1589550737,831,824
1589552648,15,3
1589553001,316,0
1589554568,25,7
1589556803,22,16
1589558657,33,14
1589560579,157,21
1589562509,152,24
1589564410,44,17
1589566578,27,27
1589568487,281,22
1589570416,30,31
1589571901,127,0
1589572333,33,11
1589574249,24,8
1589575501,162,0
1589576176,38,12
1589578091,29,0
1589581945,47,30
1589582701,291,0
1589584109,49,19
1589586009,37,0
1589587936,27,23
1589589868,13,11
1589589901,205,3305
1589591768,29,9
1589593697,67,58
1589595632,25,23
1589597537,290,100
1589599448,19,17
1589601382,17,19
1589603287,15,17
1589605231,172,35
1589607197,25,18
1589607902,218,0
1589609065,25,21
1589612913,24,48
1589614812,25,5
1589616980,124,26
1589618889,18,19
1589619601,239,0
1589620820,12,18
1589622727,19,0
1589623202,115,0
1589624655,13,21
1589626566,15,15
1589626802,118,0
1589628739,12,21
1589630652,123,21
1589632588,14,18
1589634499,133,17
1589636422,20,20
1589637601,200,0
1589640261,5,31
1589641201,90,0
1589642179,845,861
1589644100,6,22
1589646012,11,29
1589647934,19,32
1589648401,205,0
1589649857,20,23
1589651772,10,48
1589653993,8,25
1589655864,10,25
1589658154,223,30
1589662221,16,57
1589662802,208,0
1589664262,11,37
1589666165,18,27
1589668095,21,0
1589670391,19,48
1589671696,280,37
1589673268,10,49
1589674502,87,3354
1589675351,13,31
1589677216,13,17
1589678101,103,0
1589679628,16,23
1589680092,47,44
1589681526,17,27
1589681702,100,0
1589683460,15,19
1589683929,42,0
1589687291,25,46
1589691128,116,35
1589691606,15,0
1589693056,17,16
1589694965,176,21
1589697249,15,26
1589699061,23,0
1589700602,247,0
1589700973,17,26
1589702911,24,27
1589704202,108,0
1589704806,10,17
1589706742,16,17
1589708662,15,12
1589710825,39,23
1589711402,251,0
1589712729,39,14
1589714648,13,15
1589716575,34,15
1589718539,20,17
1589718602,305,0
1589720414,33,12
1589722343,32,12
1589724253,46,18
1589726175,167,0
1589728104,159,5
1589730012,42,7
1589731933,38,6
1589733859,631,362
1589734567,419,479
