DateTime,Entries,UniqueIPs
1589071206,6754,7084
1589073128,6737,7067
1589075063,6716,7049
1589075765,6747,7082
1589076002,6940,7287
1589076968,6908,7258
1589077694,6939,7291
1589078884,6920,7272
1589080814,6906,7257
1589082734,6917,7269
1589083201,7123,7503
1589084649,7125,7503
1589085368,7112,7488
1589086576,7103,7479
1589088486,7105,7484
1589090404,7097,7477
1589092810,7279,7701
1589093297,7281,7703
1589095225,7277,7699
1589097127,7288,7710
1589099048,7371,7797
1589100984,7371,7797
1589102101,7599,8039
1589103157,7603,8043
1589105051,7594,8033
1589105701,7685,8132
1589106977,7677,8124
1589108904,7690,8138
1589110821,7701,8149
1589112742,7718,8166
1589112902,7899,8360
1589114671,7888,8349
1589116569,7880,8340
1589118497,7884,8343
1589120407,7963,8431
1589124250,7964,8432
1589126173,8145,8627
1589128084,8143,8625
1589130029,8154,8637
1589131936,8251,8740
1589134102,8271,8760
1589134502,8447,8942
1589136024,8458,8957
1589137934,8464,8962
1589139851,8463,8961
1589141771,8469,8967
1589142602,8656,9160
1589143686,8655,9159
1589145618,8643,9147
1589147530,8636,9142
1589149457,8631,9137
1589149801,8798,9310
1589151366,8800,9311
1589153289,8800,9311
1589154488,8765,9275
1589155219,8771,9281
1589157132,8785,9294
1589159296,6034,6350
1589160965,6034,6352
1589161455,6032,6350
1589163370,6040,6356
1589165101,6274,6611
1589166005,6241,6577
1589167207,6242,6579
1589168701,6370,6714
1589169127,6369,6711
1589169850,6381,6725
1589171058,6369,6712
1589172965,6389,6732
1589174885,6395,6740
1589175901,6618,6977
1589176827,6600,6959
1589179693,6625,6987
1589181608,6629,6993
1589183530,6525,6862
1589185452,6629,6972
1589187363,6650,6994
1589189293,6654,6996
1589191207,6823,7167
1589193137,6832,7176
1589193902,7148,7509
1589197211,7136,7497
1589199383,7130,7491
1589201284,7137,7498
1589203214,7273,7637
1589205123,7285,7650
1589205602,7594,7964
1589207055,7598,7968
1589208966,7624,7994
1589209202,7757,8128
1589210884,7755,8126
1589212819,7770,8141
1589214737,7915,8287
1589216908,8073,8449
1589218806,8098,8474
1589220002,8221,8599
1589220728,8238,8616
1589222662,8232,8609
1589224567,8237,8614
1589226485,8251,8628
1589227201,8848,9237
1589228416,8860,9249
1589230802,8955,9345
1589232247,8951,9341
1589234174,8987,9377
1589236086,9014,9401
1589238013,9036,9423
1589238970,9232,9628
1589239944,9243,9639
1589241857,9256,9655
1589243775,9272,9672
1589245704,7034,7324
1589247607,7161,7454
1589249775,7127,7410
1589250488,7157,7441
1589252401,7393,7696
1589253606,7436,7739
1589255526,7455,7756
1589257460,7441,7743
1589258166,7428,7728
1589259367,7427,7727
1589261286,7562,7882
1589263219,7569,7888
1589266105,7642,7971
1589268011,7642,7971
1589269927,7920,8261
1589271857,7903,8244
1589273767,7917,8258
1589275695,8055,8410
1589276421,8292,8648
1589277617,8298,8653
1589279556,8308,8664
1589281716,8592,8963
1589283607,8630,9001
1589285532,8636,9007
1589287463,8737,9116
1589289369,8743,9122
1589291287,9067,9460
1589293217,9061,9453
1589294701,9181,9575
1589295128,9204,9598
1589297050,9206,9600
1589298302,9324,9724
1589298977,9346,9748
1589300887,9333,9735
1589302822,9328,9730
1589304743,9308,9710
1589305502,9587,9996
1589306907,9580,9989
1589308812,9582,9991
1589310733,9606,10015
1589312657,9607,10016
1589312702,9871,10300
1589316731,9853,10282
1589318653,9855,10284
1589320832,10069,10508
1589322991,10088,10527
