DateTime,AddedIPs,RemovedIPs
1588514884,182,186
1588517358,4,4
1588518241,3060,3046
1588525500,0,6
1588526403,156,155
1588528007,3,4
1588529113,3675,3669
1588538762,4,4
1588539841,4137,4132
1588541763,173,184
1588549443,38,35
1588550704,4533,4541
1588553282,113,113
1588559557,3,4
1588560963,886,859
1588561500,4970,5052
1588569084,248,1
1588569647,5,1
1588572482,2688,2673
1588580113,0,2
1588583107,1872,1839
1588584243,384,381
1588591105,28,82
1588593841,2529,2514
1588599603,268,269
1588601711,1527,0
1588602256,55,62
1588604641,3357,3349
1588607282,204,223
1588611911,0,4
1588613009,3,2
1588615441,3954,3956
1588618804,2,2
1588622902,126,129
1588623983,10,9
1588626241,4412,4411
1588626723,157,158
1588635025,1,9
1588637041,4824,4832
1588642322,124,138
1588646184,889,852
1588647985,5142,5212
1588657198,7,2
1588658700,1994,1992
1588661522,688,683
1588668202,5,5
1588669203,403,402
1588669441,1673,1646
1588676420,59,84
1588679051,4,10
1588680241,2406,2383
1588680405,21,0
1588680971,282,289
1588690086,66,77
1588691512,3252,3502
1588692483,194,204
1588698306,0,7
1588700352,3,4
1588701900,3978,3954
1588707843,140,144
1588710260,1,2
1588711251,8,6
1588712641,4355,4371
1588715523,121,126
1588719368,126,121
1588721950,7,5
1588723212,206,206
1588723502,4750,4722
1588727282,101,105
1588731123,860,862
1588732962,7,3
1588734241,5060,5159
1588743380,0,3
1588743950,3,7
1588745041,2031,2012
1588746483,720,692
1588748900,1,0
1588753943,1,0
1588754163,420,416
1588754797,5,3
1588755841,1845,1817
1588763526,45,87
1588765682,270,295
1588766641,2433,2410
1588766735,11,0
1588771114,0,256
1588776393,10,4
1588777203,181,179
1588777441,3419,3398
1588778166,126,153
1588784697,0,3
1588787238,5,1
1588788241,4049,4051
1588788962,213,213
1588798262,1,9
1588799041,4509,4505
1588800483,152,152
1588808825,4,4
1588809902,4944,4948
1588812002,112,121
1588819682,864,853
1588820698,5374,5473
1588827909,0,3
1588829938,2,1
1588831441,1614,1564
1588835042,679,650
1588838883,650,679
1588841000,3,3
1588841300,2,0
1588842241,2293,2284
1588842722,677,653
1588846803,406,415
1588851379,300,65
1588851478,3,5
1588853041,2749,2735
1588853711,0,256
1588856699,9,0
1588862314,3,7
1588863898,3584,3573
1588866009,469,475
1588871111,0,10
1588873374,5,7
1588874641,4191,4184
1588877522,163,175
1588884107,6,9
1588884969,1,0
1588885209,132,137
1588885497,4653,4631
1588894174,4,3
1588896241,5021,5024
1588896963,107,107
1588904642,783,843
1588905100,3,1
1588907041,5317,5416
1588914300,0,4
1588916162,704,617
1588917841,2133,2122
1588927183,6,2
1588928912,1821,1789
1588935362,346,351
1588935620,145,56
1588938088,7,0
1588939441,2676,2641
1588939515,7,0
1588946902,295,534
1588948993,4,2
1588950241,3407,3393
1588950911,0,254
1588957500,0,4
1588958642,219,225
1588959903,4,2
1588961548,4040,4035
1588970163,145,137
1588970611,3,3
1588970711,251,0
1588971841,4545,4539
1588972569,2,2
1588981683,218,221
1588982641,4858,4887
1588985522,101,103
1588989362,103,101
1588990807,1,0
1588993441,5234,5305
1589000882,856,863
1589003674,2,8
1589004241,2123,2103
1589008562,560,538
1589012402,538,560
1589014646,3,4
1589015041,1716,1687
1589016243,559,541
1589022911,81,76
1589025474,4,2
1589025841,2470,2455
1589025911,1,0
1589027762,327,321
1589032977,506,0
1589034734,59,45
1589036371,2,4
1589036693,3274,3252
1589039283,342,359
1589043122,111,99
1589044513,0,8
1589046962,99,111
1589047432,0,9
1589047441,3874,3863
1589050802,111,100
1589054642,227,257
1589058369,4308,4315
1589059944,2,2
1589062322,91,94
1589069296,4733,4733
1589073842,205,843
1589079841,5102,5189
1589080240,4,3
1589089202,833,191
1589090699,1984,1972
1589091340,1,1
1589093296,1,0
1589101441,1742,1726
1589102399,1,1
1589104563,475,453
1589108787,59,70
1589112242,363,385
1589112296,2309,2275
1589113302,1,1
1589118302,0,256
1589119922,121,120
1589122566,67,57
1589123041,3147,3138
1589123763,58,54
1589124242,5,4
1589125512,256,0
1589127603,54,58
1589131569,0,16
1589133841,3811,3805
1589134876,2,1
1589139123,193,185
1589144641,4305,4310
1589145837,4,7
1589150642,135,128
1589154483,1,1
1589155441,4791,4761
1589156799,0,3
1589162163,1,1
1589166002,853,855
1589166241,5232,5352
1589167727,2,1
1589175368,0,1
1589177041,2194,2156
1589177523,693,663
1589178674,2,2
1589185203,352,356
1589187898,1894,1864
1589189043,356,352
1589189687,1,5
1589190968,1,0
1589192883,352,356
1589196015,65,39
1589196722,230,233
1589198641,2859,2833
1589200562,232,229
1589201273,3,6
1589202013,255,511
1589202304,22,0
1589204402,272,270
1589208243,145,159
1589209441,3711,3691
1589210657,101,78
1589211277,4,0
1589215924,414,404
1589216705,0,3
1589219763,148,159
1589220241,4373,4375
1589222038,8,1
1589223602,144,135
1589227443,135,144
1589231283,5235,5232
1589232899,4,5
1589235123,155,151
1589238963,151,155
1589241841,5313,5303
1589242803,98,106
1589243905,2,1
1589250483,884,860
1589252641,5689,5785
1589254988,1,2
1589261165,0,4
1589263681,2516,2485
1589265843,750,757
1589266583,2,3
1589269682,757,750
1589273523,806,797
1589274241,2446,2408
1589276851,3,1
1589278578,4,4
1589282784,283,41
1589285044,238,237
1589285108,3579,3566
1589287685,5,10
1589288883,237,238
1589295900,4376,4354
1589296562,280,282
1589298488,62,48
1589298707,0,4
1589303094,0,20
1589304775,0,256
1589306641,5014,5001
1589308082,121,123
1589309619,3,3
1589310293,1,0
1589311923,84,95
1589315762,95,84
1589317442,5491,5504
1589319602,239,257
1589320587,2,515
1589323442,117,121
1589324694,7,0
1589328241,5854,5820
1589331123,198,205
1589331187,3,4
1589334963,103,92
1589338802,874,865
1589339041,6258,6369
1589346722,692,690
1589349841,2772,2746
1589352820,3,3
1589358243,427,420
1589360641,2776,2749
1589362082,421,427
1589363504,5,1
1589367620,139,37
1589369762,566,566
1589371691,4016,3989
1589373843,260,254
1589373912,0,261
1589377684,254,260
1589381522,68,76
1589382241,4812,4792
1589384814,2,5
1589385363,99,366
1589386332,358,480
1589389496,0,5
1589393043,133,126
1589393458,5455,5454
1589395727,1,1
1589400723,97,105
1589403841,6018,5998
1589404562,105,97
1589406613,7,5
1589411097,1,0
1589414701,6464,6465
1589416093,190,204
1589417458,3,3
1589423762,903,847
1589425441,6827,6946
1589428365,4,1
1589430738,1,0
1589432699,0,2
1589436241,3087,3041
1589439123,713,719
1589439355,2,2
1589446803,385,399
1589447094,3570,3548
1589450105,2,3
1589453293,2,2
1589455578,52,23
1589457905,4839,4792
1589458802,528,273
1589461113,3,7
1589461500,45,0
1589468697,5586,5570
1589470323,143,156
1589471910,4,3
1589474648,48,46
1589476284,0,9
1589479570,6204,6213
1589481842,117,122
1589482976,2,2
1589490292,6749,6736
1589493363,114,122
1589494221,3,3
1589496968,1,0
1589501041,6976,6959
1589505122,100,91
1589505231,5,2
1589508963,881,867
1589511890,7461,7616
1589516033,2,7
1589519092,0,1
1589520482,698,717
1589522641,3356,3296
1589526938,1,2
1589532004,397,387
1589533494,4202,4185
1589537928,4,2
1589540422,38,59
1589543522,194,202
1589544303,5308,5270
1589548104,14,1
1589548825,0,3
1589551445,509,0
1589555457,6025,6022
1589559660,0,1
1589562976,268,290
1589565841,6421,6398
1589570644,45,52
1589576694,6951,6952
1589578323,240,239
1589581633,1,3
1589582162,97,91
1589586002,91,97
1589587492,7306,7311
1589592668,2,5
1589597522,108,106
1589598241,7748,7892
1589603166,2,0
1589605492,0,3
1589609043,865,848
1589609178,3492,3426
1589614026,3,9
1589619841,4419,4388
1589624643,325,313
1589625325,1,7
1589628668,55,47
1589630694,5446,5411
1589636420,275,281
1589641441,6133,6623
1589641511,17,0
1589644082,138,147
1589647285,2,3
1589648683,507,0
1589648691,0,4
1589650211,0,255
1589652241,6635,6637
1589655603,48,47
1589657410,255,0
1589658403,2,3
1589659442,54,49
1589663041,7054,7055
1589667363,80,79
1589669126,2,5
1589673841,7315,7318
1589680083,46,50
1589683923,166,867
1589684641,7604,7773
1589687763,843,140
1589690663,1,5
1589692273,0,1
1589695442,0,1
1589697085,3531,3459
1589701249,1,8
1589706294,4464,4415
1589707202,496,495
1589711043,324,322
1589711992,4,4
1589714882,387,615
1589717094,5554,5523
1589722563,324,579
1589722937,1,8
1589727841,6343,6314
1589732407,49,48
1589733738,3,3
1589734323,190,189
1589738178,0,9
1589738688,6853,6872
1589742003,217,213
1589744232,3,4
1589749441,7190,7168
1589753762,95,91
1589755145,4,5
1589757603,121,120
1589760241,7471,7470
1589761442,86,86
1589764746,255,0
1589766062,4,3
1589769123,897,883
1589771172,7742,7902
1589772963,98,813
1589776802,813,98
1589777000,3,2
1589780166,0,2
1589780643,762,750
1589781841,2814,2755
1589788039,1,2
1589792162,431,439
1589793072,4757,4711
1589798934,3,3
1589800880,50,150
1589803215,1,1
1589803441,5860,5820
1589807088,271,512
1589808003,313,312
1589809844,1,1
1589814289,6583,6561
1589814981,1243,0
1589820253,65,54
1589820952,9,2
1589821487,0,12
1589823362,315,346
1589825170,7055,7038
1589827204,107,100
1589831042,100,107
1589831503,3,2
1589834892,1,0
1589835841,7342,7355
1589838722,142,132
1589842133,3,4
1589845511,0,256
1589846689,7637,7629
1589853072,5,2
1589854323,872,865
1589857441,7961,8175
1589864170,1,0
1589864691,0,2
1589865843,705,687
1589868241,2970,2913
1589874933,2,3
1589877363,404,410
1589879090,3285,3246
