DateTime,Entries,UniqueIPs
1589587936,133150,9419224
1589588373,133152,9419226
1589589093,133165,9419239
1589589868,133151,9419224
1589590532,133153,9419226
1589591253,133152,9419225
1589591768,133165,9419240
1589591972,133162,9419237
1589592723,133167,9419242
1589593413,133171,9419246
1589593697,133176,9419251
1589594132,133177,9419253
1589594854,133168,9419244
1589595632,133155,9419228
1589595847,133160,9419233
1589596293,133161,9419233
1589597013,133157,9419229
1589597537,133169,9419241
1589597733,133171,9419243
1589598453,133172,9419244
1589599173,133175,9419247
1589599448,133188,9419260
1589599893,133194,9419266
1589600613,133197,9419270
1589601382,133189,9419262
1589602053,133186,9419259
1589602773,133179,9419252
1589603287,133195,9419268
1589603545,133199,9419272
1589604212,133198,9419271
1589604933,133194,9419267
1589605231,133193,9419266
1589605654,133194,9419267
1589606373,133197,9419270
1589607197,133200,9419273
1589607812,133201,9419274
1589608533,133204,9419277
1589609065,133212,9419283
1589609252,133209,9419280
1589610513,133235,9419306
1589611173,133236,9419307
1589611893,133234,9419305
1589612913,133215,9419058
1589613573,133211,9419053
1589614293,133208,9419050
1589614812,133226,9419069
1589615013,133233,9419076
1589615733,133232,9419075
1589616453,133230,9419074
1589616980,133223,9419068
1589617172,133225,9419071
1589617893,133225,9419071
1589618612,133224,9419070
1589618889,133222,9419068
1589619333,133221,9419067
1589620053,133220,9419066
1589620820,133220,9419066
1589621493,133223,9419069
1589622213,133222,9419068
1589622727,133230,9419076
1589622933,133224,9419070
1589623653,133230,9419076
1589624373,133228,9419074
1589624655,133226,9419070
1589625384,133240,9419084
1589626054,133240,9419084
1589626566,133239,9419084
1589626774,133237,9419082
1589627494,133231,9419077
1589628214,133231,9419077
1589628739,133223,9419071
1589628933,133221,9419069
1589629653,133213,9419060
1589630372,133211,9419058
1589630652,133208,9419054
1589631093,133207,9419053
1589631813,133208,9419054
1589632588,133198,9419042
1589633253,133202,9419046
1589633973,133195,9419038
1589634499,133204,9419047
1589634693,133210,9419053
1589635413,133209,9419051
1589636132,133207,9419049
1589636422,133211,9419053
1589636853,133206,9419048
1589637572,133203,9419045
1589638292,133207,9419049
1589639013,133207,9419049
1589639732,133209,9419052
1589640261,133182,9419024
1589640933,133184,9419282
1589641652,133183,9419281
1589642172,133194,9419292
1589642612,133193,9419291
1589643334,133191,9419289
1589644100,133173,9419268
1589644772,133174,9419269
1589645493,133183,9419278
1589646012,133192,9419287
1589646212,133197,9419292
1589646933,133195,9419290
1589647208,133202,9419297
1589647653,133199,9419294
1589647934,133171,9419266
1589648372,133176,9419271
1589649092,133182,9419277
1589649857,133194,9419290
1589650532,133197,9419292
1589651253,133197,9419293
1589651772,133177,9419274
1589651973,133169,9419266
1589652693,133168,9419265
1589653413,133170,9419267
1589653993,133162,9419260
1589654373,133163,9419261
1589654886,133177,9419275
1589655094,133173,9419271
1589655864,133162,9419260
1589656533,133169,9419267
1589658154,133176,9419274
1589658453,133175,9419272
1589659412,133176,9419274
1589660373,133183,9419281
1589661093,133188,9419286
1589662221,133163,9419259
1589662533,133182,9419278
1589663493,133199,9419295
1589664262,133200,9419296
1589664933,133208,9419304
1589665654,133210,9419306
1589666165,133192,9419288
1589666374,133189,9419286
1589667332,133188,9419285
1589668095,133184,9419280
1589669013,133177,9419273
1589670391,133204,9419301
1589670693,133201,9419298
1589671653,133202,9419299
1589673268,133158,9419255
1589674532,133170,9419267
1589675351,133154,9419252
1589675733,133140,9419238
1589676692,133139,9419237
1589677216,133123,9419222
1589677653,133127,9419226
1589678614,133128,9419227
1589679628,133117,9419216
1589680087,133114,9419213
1589681526,133087,9419185
1589681973,133085,9419183
1589682692,133085,9419183
1589683460,133080,9419177
1589684133,133078,9419175
1589685199,133083,9419179
1589685573,133078,9419174
1589686293,133071,9419167
1589687013,133065,9419160
1589687291,133036,9419130
1589687734,133036,9419130
1589688453,133035,9419129
1589689173,133037,9419131
1589689892,133036,9419130
1589690898,133041,9419135
1589691128,133033,9419128
1589691572,133032,9419127
1589692293,133025,9419120
1589693056,133008,9419104
1589693733,133002,9419099
1589694453,132996,9419092
1589694965,133006,9419102
1589695172,132998,9419094
1589695893,133001,9419097
1589696613,132996,9419091
1589697249,133012,9419107
1589697939,133002,9419097
1589698293,133000,9419095
1589699061,133009,9419301
1589699774,133017,9419309
1589700453,133014,9419306
1589700973,133007,9419298
1589701173,133002,9419293
1589701893,133002,9419293
1589702911,133003,9419293
1589703574,132998,9419288
1589704292,132997,9419287
1589704806,132992,9419281
1589705013,132994,9419283
1589705733,132996,9419285
1589706453,132995,9419284
1589706742,132987,9419275
1589707173,132991,9419279
1589707893,132990,9419278
1589708662,133010,9419298
1589709333,133016,9419304
1589710054,133022,9419310
1589710825,133054,9419342
1589711493,133052,9419341
1589712212,133056,9419345
1589712729,133087,9419376
1589712932,133087,9419377
1589713653,133091,9419381
1589714414,133097,9419387
1589714648,133086,9419375
1589715093,133085,9419374
1589715814,133079,9419368
1589716575,133079,9419365
1589717252,133073,9419359
1589717973,133075,9419361
1589718539,133062,9419348
1589718692,133062,9419348
1589719413,133065,9419351
1589720133,133068,9419354
1589720414,133058,9419344
1589720852,133063,9419349
1589721572,133065,9419351
1589722343,133064,9419349
1589723013,133066,9419350
1589723732,133073,9419357
1589724253,133080,9419364
1589724452,133080,9419364
1589725173,133079,9419363
1589725893,133085,9419369
1589726175,133062,9419346
1589726613,133062,9419346
1589727332,133066,9419342
1589728104,133045,9419320
1589728773,133048,9419323
1589729050,133052,9419327
1589729493,133056,9419331
1589730012,133065,9419340
1589730213,133069,9419344
1589731413,133068,9419343
1589731933,133085,9419360
1589732132,133077,9419352
1589732852,133074,9419349
1589733573,133068,9419343
1589733855,133049,9419325
1589734293,133047,9419323
1589734566,133049,9419325
1589735013,133045,9419321
1589735778,133044,9419320
1589736452,133047,9419324
1589737173,133051,9419328
1589737696,133056,9419334
1589737893,133055,9419333
1589738613,133053,9419331
1589739333,133060,9419338
1589739607,133063,9419341
1589740053,133060,9419338
1589740772,133064,9419342
1589741541,133083,9419361
1589742454,133081,9419359
1589743173,133079,9419357
1589743448,133074,9419352
1589743684,133091,9419369
1589743894,133088,9419366
1589744613,133098,9419376
1589745681,133110,9419386
1589746053,133113,9419388
1589746773,133115,9419390
1589747542,133129,9419402
1589748213,133131,9419403
1589748933,133125,9419397
1589749460,133144,9419416
1589749652,133128,9419400
1589750373,133126,9419398
1589751094,133123,9419395
1589751370,133138,9419410
1589751813,133133,9419405
1589752533,133130,9419402
1589753253,133135,9419407
1589753974,133133,9419406
1589754693,133138,9419411
1589755209,133122,9419394
1589755413,133126,9419399
1589756134,133123,9419394
1589756852,133128,9419399
1589757129,133148,9419419
1589757573,133155,9419426
1589758336,133177,9419448
1589759061,133174,9419445
1589759732,133171,9419442
1589760452,133159,9419431
1589761173,133163,9419434
1589761892,133176,9419447
1589762612,133179,9419450
1589762889,133161,9419429
1589763333,133164,9419432
1589764053,133163,9419431
1589764815,133167,9419435
1589765494,133165,9419433
1589766212,133166,9419434
1589766725,133182,9419451
1589766934,133179,9419448
1589767444,133181,9419450
1589767894,133185,9419454
1589768655,133181,9419451
1589769332,133181,9419451
1589770053,133183,9419454
1589770563,133202,9419473
1589770773,133202,9419473
1589771493,133200,9419471
1589772214,133200,9419471
1589772485,133195,9419467
1589772980,133218,9419490
1589773653,133216,9419488
1589774425,133238,9419511
1589775093,133240,9419513
1589775812,133251,9419524
1589776335,133284,9419559
1589776532,133288,9419562
1589777253,133290,9419564
1589777974,133293,9419567
1589778503,133323,9419595
1589778693,133327,9419599
1589779413,133330,9419602
1589780133,133336,9419608
1589780408,133360,9419633
1589780853,133364,9419637
1589781572,133364,9419637
1589782336,133372,9419645
1589783013,133370,9419643
1589783733,133371,9419644
1589784251,133354,9419627
1589784453,133347,9419620
1589784971,133344,9419617
1589785174,133347,9419620
1589785893,133353,9417617
