DateTime,AddedIPs,RemovedIPs
1589444522,31,0
1589445721,4,8
1589446921,42,145
1589447522,20,19
1589448121,10,41
1589449321,40,0
1589449921,4,39
1589451121,49,86
1589451722,3,0
1589452321,24,22
1589453521,54,54
1589454121,40,15
1589454721,6,0
1589455321,28,0
1589456522,43,44
1589457721,10,35
1589458321,34,28
1589458921,34,12
1589460121,28,33
1589461321,25,5
1589461922,35,0
1589463121,49,33
1589463722,29,13
1589464921,46,60
1589465521,11,0
1589466122,36,63
1589466721,26,0
1589467321,28,66
1589468521,30,8
1589469721,47,33
1589470922,27,5
1589471521,29,0
1589472121,13,5
1589472722,26,0
1589473321,3,0
1589474521,39,7
1589475121,1,24
1589475722,66,78
1589476322,34,9
1589476922,59,0
1589478121,12,27
1589479322,19,23
1589479921,20,6
1589480521,49,0
1589481722,41,22
1589482921,4,3
1589483521,22,4
1589484122,33,0
1589485322,6,13
1589486521,50,98
1589487721,15,6
1589488321,42,0
1589488921,22,37
1589490121,31,2
1589490721,12,12
1589491921,17,0
1589492521,29,0
1589493121,23,33
1589493721,38,56
1589494921,9,15
1589495521,37,0
1589496721,12,7
1589497322,25,41
1589498522,8,29
1589499721,38,3
1589500922,63,21
1589501521,16,0
1589502721,26,8
1589503321,21,2
1589503921,40,0
1589504521,13,0
1589505121,39,40
1589505722,37,0
1589506922,33,62
1589507521,19,0
1589508121,41,19
1589509321,45,30
1589509922,40,41
1589510521,9,0
1589511121,40,12
1589512322,50,15
1589512921,8,0
1589514121,6,39
1589514721,25,0
1589515321,4,20
1589517121,34,19
1589518321,35,41
1589519521,11,4
1589520122,44,51
1589520722,34,33
1589521922,22,0
1589522521,9,25
1589523722,19,28
1589524921,14,54
1589526122,35,157
1589526721,14,0
1589527321,38,0
1589528521,17,15
1589529721,39,4
1589530921,46,54
1589532121,12,58
1589532721,31,0
1589533321,15,48
1589534521,19,80
1589535121,4,0
1589535721,33,30
1589536321,32,0
1589536922,32,39
1589537522,9,18
1589538721,8,0
1589539321,47,0
1589540521,23,111
1589541121,45,0
1589541721,18,16
1589542321,31,0
1589542921,17,0
1589543521,31,6
1589544121,56,48
1589544722,22,0
1589545321,18,20
1589546521,29,53
1589548321,37,4
1589548921,28,18
1589549521,34,6
1589550721,8,39
1589551322,23,13
1589551922,4,0
1589552521,2,0
1589553721,6,67
1589554321,11,18
1589554921,56,2
1589555522,14,68
1589556121,5,21
1589556721,47,7
1589557921,48,48
1589559121,24,9
1589559721,24,0
1589560321,2,6
1589560921,25,38
1589561521,30,0
1589562122,20,26
1589563321,20,62
1589564521,38,6
1589565121,11,7
1589566321,53,27
1589567521,37,10
1589568722,8,8
1589569321,17,0
1589570522,24,48
1589571721,8,33
1589572322,41,0
1589572921,40,4
1589573522,15,23
1589574721,62,0
1589575321,25,0
1589576521,53,65
1589577121,11,6
1589578321,45,41
1589578921,8,0
1589579522,6,35
1589580121,3,0
1589581321,31,43
1589581921,11,0
1589582521,49,3
1589583121,13,25
1589584321,63,4
1589584922,36,33
1589586122,45,30
1589586721,10,0
1589587921,27,15
1589588521,3,38
1589589721,29,27
1589590321,21,6
1589591521,21,47
1589592121,14,9
1589592721,50,0
1589593321,46,0
1589593921,23,83
1589595121,27,0
1589595721,10,24
1589596921,19,0
1589598121,44,24
1589598721,19,6
1589599921,47,34
1589601121,17,44
1589601721,22,0
1589602921,6,27
1589603522,47,0
1589604121,40,13
1589605321,56,17
1589606521,23,0
