DateTime,AddedIPs,RemovedIPs
1589404321,1,3
1589405521,3,1
1589406121,0,1
1589406721,2,0
1589407321,1,0
1589408521,5,2
1589409721,2,0
1589410321,1,1
1589410921,0,3
1589412121,1,0
1589412721,2,0
1589413321,1,4
1589413921,0,2
1589416321,1,3
1589416921,0,3
1589417521,0,1
1589418721,3,4
1589419921,2,0
1589420521,2,0
1589421721,1,8
1589422922,23,1
1589424121,6,0
1589425321,4,1
1589426522,2,1
1589427721,0,3
1589429521,1,1
1589431321,2,4
1589433722,6,5
1589436122,0,2
1589437321,2,4
1589438521,1,0
1589439121,1,1
1589439721,1,3
1589440321,5,0
1589440922,2,3
1589442122,6,3
1589443321,3,6
1589443921,2,0
1589444522,3,0
1589446321,3,0
1589446921,8,3
1589447522,3,0
1589448121,2,6
1589448721,1,0
1589449321,0,3
1589449921,4,2
1589451121,0,2
1589452321,5,1
1589452922,1,0
1589453521,1,1
1589454121,0,5
1589455921,1,1
1589456522,3,0
1589457721,1,1
1589458921,4,2
1589459521,1,2
1589461321,1,3
1589462522,6,2
1589463121,31,0
1589464921,1,3
1589465521,0,13
1589466122,3,26
1589467321,1,1
1589468521,1,4
1589470321,1,2
1589470922,5,6
1589472722,0,4
1589473321,1,0
1589474521,6,0
1589475121,2,0
1589475721,0,4
1589476922,2,0
1589477521,0,1
1589478121,3,0
1589479921,5,3
1589481721,1,4
1589482921,2,0
1589483521,1,2
1589484721,8,0
1589485322,1,0
1589486521,3,4
1589487121,1,0
1589488321,1,7
1589488921,5,0
1589490121,4,3
1589490721,1,3
1589491921,3,4
1589492521,1,0
1589493121,2,4
1589493721,1,1
1589494921,2,5
1589495521,1,1
1589496122,0,5
1589497322,4,6
1589497921,2,0
1589499122,1,0
1589499721,0,3
1589500922,1,7
1589502721,0,5
1589503921,1,0
1589504521,1,0
1589505121,7,1
1589505722,0,1
1589506922,1,8
1589507521,1,0
1589508721,1,4
1589509922,1,3
1589511121,3,1
1589511721,2,1
1589512921,3,4
1589513522,2,7
1589514721,5,3
1589515321,2,0
1589516522,2,2
1589517721,2,3
1589518321,0,1
1589520122,6,3
1589520722,1,1
1589521922,4,0
1589523121,1,2
1589523722,2,0
1589524921,48,6
1589526122,1,5
1589527321,4,1
1589527921,1,1
1589529121,1,4
1589529721,1,0
1589530321,4,7
1589531521,4,1
1589532121,1,0
1589532721,6,0
1589533321,3,3
1589533921,1,2
1589535121,9,2
1589535721,0,2
1589536921,1,1
1589538122,3,1
1589539921,2,1
1589540521,1,0
1589541121,1,2
1589541721,1,0
1589542321,2,7
1589543521,0,81
1589544121,3,8
1589545321,0,7
1589546521,3,5
1589547722,3,4
1589548321,1,0
1589548921,0,3
1589549521,2,0
1589550121,5,2
1589550721,0,5
1589551322,0,3
1589551922,21,0
1589553121,3,6
1589553721,5,0
1589554321,1,8
1589554921,1,0
1589555521,4,0
1589556121,5,5
1589556721,0,2
1589557321,15,0
1589557921,3,2
1589558521,5,0
1589559121,1,0
1589560321,16,4
1589560921,0,4
1589562721,3,2
1589563921,5,2
1589564521,0,4
1589565121,1,2
1589566321,9,2
1589566921,3,0
1589567521,5,0
1589568121,1,0
1589569321,4,8
1589570521,3,5
1589571721,1,3
1589572322,3,0
1589572921,0,2
1589574121,0,3
1589575321,2,0
1589575921,2,1
1589576521,4,1
1589577121,0,2
1589577721,4,0
1589578321,2,0
1589579522,6,4
1589581321,2,6
1589582521,3,0
1589583721,3,3
1589584321,1,0
1589584922,0,4
1589586122,1,5
1589587322,2,4
1589588521,3,3
1589589121,4,4
1589590321,1,3
1589590922,1,0
1589592121,4,3
1589592721,2,0
1589593921,2,16
1589594521,0,1
1589595721,3,2
1589596321,3,0
1589598121,3,1
1589599322,2,1
1589599921,3,1
1589600521,2,0
1589601121,0,2
1589601721,1,0
1589602921,3,2
1589603522,1,0
1589604121,2,0
1589605321,0,2
1589606521,5,0
1589607121,0,1
1589607721,2,0
1589610122,4,3
1589610721,27,0
1589611921,1,59
1589612521,2,15
1589613721,4,0
1589615522,1,1
1589616721,0,1
1589617322,3,0
1589617922,0,2
1589619121,1,1
1589619721,0,1
1589620322,0,3
1589620921,1,1
1589622721,3,0
1589623321,1,1
1589624521,1,2
1589625121,8,0
1589625722,1,0
