DateTime,AddedIPs,RemovedIPs
1589497921,21,21
1589499122,82,82
1589499721,19,19
1589500922,81,81
1589501521,32,32
1589502121,25,25
1589502721,35,35
1589503921,90,90
1589504521,28,28
1589505121,66,66
1589505722,40,40
1589506922,77,77
1589507521,48,48
1589508121,25,25
1589508721,32,32
1589509922,100,100
1589510521,42,42
1589511121,60,60
1589511721,65,65
1589512921,82,82
1589513522,68,68
1589514721,85,85
1589515321,67,67
1589516522,90,90
1589517721,90,90
1589518321,42,42
1589519521,88,88
1589520122,37,37
1589520722,30,30
1589521922,88,88
1589523121,88,88
1589523722,32,32
1589524921,99,99
1589526122,71,71
1589526721,35,35
1589527321,47,47
1589527921,47,47
1589529121,92,92
1589529721,27,27
1589530321,55,55
1589531521,80,80
1589532121,18,18
1589532721,49,49
1589533321,75,75
1589533921,68,68
1589535121,52,52
1589535721,43,43
1589536321,16,16
1589536921,59,59
1589538122,60,60
1589539921,82,82
1589540521,23,23
1589541121,18,18
1589541721,42,42
1589542321,26,26
1589542921,17,17
1589543521,12,12
1589544121,12,12
1589544722,8,8
1589545321,11,11
1589546521,41,41
1589547121,8,8
1589547722,63,63
1589548321,16,16
1589548921,39,39
1589549521,17,17
1589550121,45,45
1589550721,60,60
1589551322,36,36
1589551922,56,56
1589553121,81,81
1589553721,23,23
1589554321,10,10
1589554921,65,65
1589555521,41,41
1589556121,47,47
1589556721,17,17
1589557321,73,73
1589557921,54,54
1589558521,16,16
1589559121,40,40
1589560321,85,85
1589560921,47,47
1589562721,89,89
1589563921,68,68
1589564521,35,35
1589565121,30,30
1589566321,99,99
1589566921,28,28
1589567521,27,27
1589568121,24,24
1589569321,92,92
1589569921,34,34
1589570521,49,49
1589571721,60,60
1589572322,64,64
1589572921,28,28
1589573522,57,57
1589574121,24,24
1589575321,83,83
1589575921,42,42
1589576521,43,43
1589577121,49,49
1589577721,72,72
1589578321,51,51
1589579522,52,52
1589580121,21,21
1589581321,46,46
1589581921,29,29
1589582521,30,30
1589583721,80,80
1589584321,26,26
1589584922,22,22
1589586122,86,86
1589587322,86,86
1589588521,89,89
1589589121,80,80
1589590321,92,92
1589590922,31,31
1589592121,86,86
1589592721,40,40
1589593921,75,75
1589594521,45,45
1589595721,79,79
1589596321,27,27
1589596921,32,32
1589598121,80,80
1589599322,84,84
1589599921,51,51
1589600521,51,51
1589601121,30,30
1589601721,48,48
1589602921,86,86
1589603522,35,35
1589604121,46,46
1589605321,52,52
1589606521,72,72
1589607121,30,30
1589607721,49,49
1589608321,45,45
1589610122,97,97
1589610721,70,70
1589611921,97,97
1589612521,53,53
1589613721,86,86
1589614322,47,47
1589615522,70,70
1589616121,29,29
1589616721,53,53
1589617322,44,44
1589617922,46,46
1589618521,13,13
1589619121,15,15
1589619721,16,16
1589620322,17,17
1589620921,55,55
1589622121,80,80
1589622721,38,38
1589623321,37,37
1589624521,97,97
1589625121,70,70
1589625722,28,28
1589626321,13,13
1589627521,91,91
1589628121,39,39
1589628721,18,18
1589629321,60,60
1589629922,18,18
1589631122,83,83
1589631722,20,20
1589632321,45,45
1589632921,12,12
1589633521,6,6
1589634721,92,92
1589635921,95,95
1589636521,35,35
1589637721,55,55
1589638321,42,42
1589638921,8,8
1589639521,48,48
1589640122,54,54
1589640721,42,42
1589641921,79,79
1589643121,69,69
1589643721,48,48
1589644921,71,71
1589646121,51,51
1589646721,23,23
1589647321,18,18
1589647922,21,21
1589648521,17,17
1589649721,80,80
1589650321,21,21
1589650921,34,34
1589651522,8,8
1589652121,39,39
1589652721,52,52
1589653321,41,41
1589653922,20,20
1589655121,89,89
1589655722,26,26
1589657521,64,64
1589658122,18,18
1589658721,27,27
1589659922,75,75
1589661122,85,85
1589662322,47,47
1589663521,76,76
1589664121,33,33
1589665321,29,29
1589666521,91,91
1589667121,14,14
1589667721,27,27
1589668321,18,18
1589668922,11,11
1589669521,23,23
1589670722,76,76
1589671321,43,43
1589672521,86,86
1589673121,32,32
1589674321,73,73
1589674922,26,26
1589675522,17,17
1589676721,30,30
1589677321,30,30
1589677921,39,39
1589678521,19,19
1589679721,85,85
1589680321,57,57
1589681521,95,95
1589682121,37,37
1589683321,95,95
1589683921,32,32
1589684521,37,37
1589685121,67,67
1589685722,42,42
1589686321,48,48
1589686922,31,31
1589688122,79,79
1589689322,97,97
1589689922,41,41
1589691721,96,96
1589692321,32,32
1589693521,89,89
1589694121,55,55
1589695321,99,99
1589695921,49,49
1589697121,55,55
1589698321,80,80
1589698921,59,59
1589699521,54,54
1589700121,28,28
