DateTime,AddedIPs,RemovedIPs
1587972782,18,20
1587976382,12,12
1587979982,11,9
1587983581,14,14
1587987181,21,21
1587990781,15,18
1587994381,16,14
1587997981,20,18
1588001582,15,20
1588005182,16,15
1588008781,21,15
1588012381,16,15
1588015982,16,19
1588019582,20,18
1588023182,12,14
1588026782,16,18
1588030382,10,13
1588033982,11,7
1588037581,16,14
1588041182,13,14
1588044781,10,13
1588048381,13,9
1588051982,10,13
1588055581,16,17
1588059182,18,16
1588062782,16,14
1588066382,12,13
1588069981,12,12
1588073581,10,10
1588077181,17,18
1588080782,15,13
1588084381,14,13
1588087981,16,18
1588091582,12,13
1588095182,19,17
1588098781,13,14
1588102381,6,6
1588105982,8,9
1588109581,21,22
1588113182,15,17
1588116781,4,5
1588120381,16,13
1588123981,9,9
1588127581,10,10
1588131182,10,11
1588134782,12,13
1588138382,16,14
1588141981,11,11
1588145582,13,14
1588149181,13,11
1588156382,9,11
1588159981,17,17
1588163582,9,7
1588167181,18,18
1588170782,13,16
1588174382,15,14
1588177981,13,17
1588181581,18,18
1588185182,8,9
1588188782,15,14
1588192381,15,14
1588195981,10,8
1588199581,14,15
1588203181,10,10
1588206781,13,13
1588210381,14,14
1588213981,17,18
1588217581,11,12
1588221182,22,16
1588224782,11,12
1588228382,12,11
1588231981,13,16
1588235582,20,18
1588239181,16,19
1588242781,10,8
1588246381,14,12
1588249982,17,18
1588253582,11,12
1588257182,15,15
1588260781,10,10
1588264382,14,13
1588267981,15,17
1588271582,13,14
1588275181,15,13
1588278781,13,13
1588282382,12,13
1588285982,12,11
1588289581,10,11
1588296781,8,7
1588300381,14,11
1588303982,12,12
1588307582,18,18
1588311181,18,19
1588314781,12,11
1588318381,11,12
1588321982,14,14
1588325581,14,17
1588329182,15,17
1588332782,15,14
1588336381,7,7
1588339982,16,14
1588343582,16,17
1588347181,15,16
1588350782,13,12
1588354381,16,13
1588357982,15,15
1588361581,16,17
1588365181,12,12
1588368781,12,14
1588372381,8,7
1588375981,8,5
1588379582,9,15
1588383182,6,6
1588386781,12,8
1588390381,10,12
1588393982,14,12
1588397582,12,13
1588401181,11,12
1588404782,13,13
1588408382,15,15
1588411981,12,10
1588415582,12,12
1588419181,8,11
1588422782,10,9
1588426381,9,9
1588429982,9,11
1588433581,8,9
1588437181,9,7
1588440781,12,12
1588444381,14,12
1588447981,14,14
1588451581,14,13
1588455181,9,8
1588458781,9,11
1588462381,7,9
1588465982,17,14
1588469582,12,13
1588473181,9,10
1588476782,16,15
1588480382,15,14
1588487581,20,21
1588494782,9,9
1588498381,16,18
1588501982,13,14
1588505581,4,4
1588509182,22,19
1588512782,10,12
1588519982,15,14
1588523582,16,19
1588527182,11,11
1588530782,17,18
1588534382,13,10
1588537982,16,12
1588541582,15,17
1588545181,18,19
1588548782,14,11
1588552381,15,16
1588555981,15,14
1588559582,13,15
1588563181,17,14
1588566781,10,12
1588570382,17,14
1588573982,10,11
1588577584,17,21
1588581182,13,16
1588588382,18,16
1588591982,22,18
1588595582,12,10
1588599181,15,18
1588606382,21,23
1588609982,14,15
1588613581,12,10
1588617182,17,12
1588620781,8,10
1588624382,14,15
1588627981,13,15
1588631582,17,15
1588635182,9,11
1588638781,9,8
1588642381,12,13
1588645982,15,13
1588649581,16,16
1588656782,22,22
1588660382,9,10
1588667582,11,12
1588671181,19,17
1588674782,17,16
1588678381,13,15
1588681982,13,10
1588685582,14,15
1588692781,23,26
1588696382,12,10
1588699981,12,13
1588703581,14,14
1588707181,11,13
1588710782,13,13
1588714382,13,9
1588717982,9,10
1588725182,11,15
1588728781,13,11
1588732382,14,15
1588735982,12,9
1588739582,13,15
1588743182,10,11
1588746781,11,9
1588750382,10,9
1588753981,11,14
1588757582,9,8
1588764781,20,20
1588771982,13,17
1588775582,12,8
1588779181,21,22
1588782781,14,13
1588786381,14,13
1588789981,12,11
1588793582,14,15
1588797181,10,12
1588800781,17,14
1588804381,8,9
1588807981,14,16
1588811581,15,15
1588815182,19,17
1588818781,10,10
1588822382,20,16
1588825981,12,13
1588829582,13,13
1588833181,9,14
1588836781,12,12
1588840382,13,13
1588843982,13,13
